'de novo' IMP biosynthesis	IMP biosynthesis
nerve ensheathment	nerve maturation
nerve maturation	neurogenesis
nerve-nerve synaptic transmission	synaptic transmission
neural crest cell migration	cell migration
neuroblast activation	suppression of neuroblast proliferation
neuroblast cell division	asymmetric cytokinesis
neuroblast cell division	neuroblast cell fate determination
neuroblast cell fate determination	cell fate determination
neuroblast cell fate determination	neurogenesis
neuroblast proliferation	neurogenesis
neurogenesis	organogenesis
neuromuscular junction development	myogenesis
neuromuscular synaptic transmission	synaptic transmission
neuron differentiation	cell differentiation
neuronal cell adhesion	heterophilic cell adhesion
neuronal cell recognition	cell recognition
neuronal lineage restriction	neurogenesis
neuronal remodeling	neurogenesis
neuropeptide signaling pathway	G-protein coupled receptor protein signaling pathway
neurotransmitter biosynthesis	biosynthesis
neurotransmitter biosynthesis	neurotransmitter metabolism
neurotransmitter catabolism	catabolism
neurotransmitter catabolism	neurotransmitter metabolism
neurotransmitter metabolism	metabolism
neurotransmitter metabolism	regulation of neurotransmitter levels
neurotransmitter receptor biosynthesis	neurotransmitter receptor metabolism
neurotransmitter receptor biosynthesis	protein biosynthesis
neurotransmitter receptor metabolism	protein metabolism
neurotransmitter receptor metabolism	regulation of synapse
neurotransmitter secretion	regulation of neurotransmitter levels
neurotransmitter secretion	secretion
neurotransmitter storage	regulation of neurotransmitter levels
neurotransmitter transport	transport
neurotransmitter uptake	regulation of neurotransmitter levels
neurulation	gastrulation
neutral amino acid transport	amino acid transport
neutral lipid biosynthesis	lipid biosynthesis
neutral lipid biosynthesis	neutral lipid metabolism
neutral lipid catabolism	lipid catabolism
neutral lipid catabolism	neutral lipid metabolism
neutral lipid metabolism	lipid metabolism
neutrophil activation	cell activation
neutrophil activation	inflammatory response
neutrophil chemotaxis	immune cell chemotaxis
neutrophil chemotaxis	inflammatory response
neutrophil differentiation	myeloid blood cell differentiation
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido L-glutamato L-histidino L-serinyl nickel triiron disulfide trioxide	nickel incorporation into metallo-sulfur cluster
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido L-glutamato L-histidino L-serinyl nickel triiron disulfide trioxide	peptidyl-cysteine modification
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido L-glutamato L-histidino L-serinyl nickel triiron disulfide trioxide	peptidyl-glutamic acid modification
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido L-glutamato L-histidino L-serinyl nickel triiron disulfide trioxide	peptidyl-histidine modification
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido bis-L-glutamato L-histidino nickel triiron disulfide trioxide	nickel incorporation into metallo-sulfur cluster
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido bis-L-glutamato L-histidino nickel triiron disulfide trioxide	peptidyl-cysteine modification
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido bis-L-glutamato L-histidino nickel triiron disulfide trioxide	peptidyl-glutamic acid modification
nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido bis-L-glutamato L-histidino nickel triiron disulfide trioxide	peptidyl-histidine modification
nickel incorporation into metallo-sulfur cluster	metal incorporation into metallo-sulfur cluster
nickel incorporation into nickel-iron-sulfur cluster via pentakis-L-cysteinyl L-histidino nickel tetrairon pentasulfide	nickel incorporation into metallo-sulfur cluster
nickel incorporation into nickel-iron-sulfur cluster via pentakis-L-cysteinyl L-histidino nickel tetrairon pentasulfide	peptidyl-cysteine modification
nickel incorporation into nickel-iron-sulfur cluster via pentakis-L-cysteinyl L-histidino nickel tetrairon pentasulfide	peptidyl-histidine modification
nickel ion transport	transition metal ion transport
nickel-tetrapyrrole coenzyme metabolism	tetrahydrocorphin metabolism
nicotianamine biosynthesis	biogenic amine biosynthesis
nicotianamine biosynthesis	nicotianamine metabolism
nicotianamine catabolism	biogenic amine catabolism
nicotianamine catabolism	nicotianamine metabolism
nicotianamine metabolism	biogenic amine metabolism
nicotinamide adenine dinucleotide biosynthesis	nicotinamide adenine dinucleotide metabolism
nicotinamide adenine dinucleotide biosynthesis	pyridine nucleotide biosynthesis
nicotinamide adenine dinucleotide catabolism	nicotinamide adenine dinucleotide metabolism
nicotinamide adenine dinucleotide catabolism	pyridine nucleotide catabolism
nicotinamide adenine dinucleotide metabolism	nicotinamide metabolism
nicotinamide adenine dinucleotide phosphorylation and dephosphorylation	nicotinamide adenine dinucleotide metabolism
nicotinamide metabolism	pyridine nucleotide metabolism
nicotinamide mononucleotide transport	vitamin/cofactor transport
nicotinamide nucleotide biosynthesis	nicotinamide adenine dinucleotide biosynthesis
nicotinamide nucleotide biosynthesis	nicotinamide nucleotide metabolism
nicotinamide nucleotide biosynthesis from aspartate	aspartate metabolism
nicotinamide nucleotide biosynthesis from aspartate	nicotinamide nucleotide biosynthesis
nicotinamide nucleotide biosynthesis from niacinamide	nicotinamide nucleotide biosynthesis
nicotinamide nucleotide metabolism	pyridine nucleotide metabolism
nicotinamide riboside catabolism	NADH metabolism
nicotinamide riboside catabolism	nicotinamide riboside metabolism
nicotinamide riboside catabolism	pyridine nucleotide catabolism
nicotinamide riboside metabolism	pyridine nucleotide metabolism
nicotinate nucleotide biosynthesis	nicotinamide adenine dinucleotide biosynthesis
nicotinate nucleotide biosynthesis	nicotinate nucleotide metabolism
nicotinate nucleotide biosynthesis from tryptophan	nicotinate nucleotide biosynthesis
nicotinate nucleotide biosynthesis from tryptophan	tryptophan metabolism
nicotinate nucleotide biosynthesis\, salvage pathway	nicotinate nucleotide biosynthesis
nicotinate nucleotide metabolism	pyridine nucleotide metabolism
nicotine biosynthesis	alkaloid biosynthesis
nicotine biosynthesis	nicotine metabolism
nicotine catabolism	alkaloid catabolism
nicotine catabolism	nicotine metabolism
nicotine metabolism	alkaloid metabolism
nitrate assimilation	nitrate metabolism
nitrate metabolism	nitrogen metabolism
nitrate transport	inorganic anion transport
nitric oxide biosynthesis	biosynthesis
nitric oxide biosynthesis	nitric oxide metabolism
nitric oxide catabolism	catabolism
nitric oxide catabolism	nitric oxide metabolism
nitric oxide mediated signal transduction	intracellular signaling cascade
nitric oxide metabolism	nitrogen metabolism
nitric oxide transport	transport
nitrilotriacetate metabolism	carboxylic acid metabolism
nitrilotriacetate metabolism	xenobiotic metabolism
nitrite transport	inorganic anion transport
nitrobenzene metabolism	benzene and derivative metabolism
nitrogen fixation	nitrogen metabolism
nitrogen metabolism	metabolism
nitrogen utilization	nitrogen metabolism
nitrogenous compound fermentation	fermentation
nitroglycerin metabolism	xenobiotic metabolism
nitrotoluene catabolism	nitrotoluene metabolism
nitrotoluene catabolism	toluene catabolism
nitrotoluene metabolism	toluene metabolism
nodulation	physiological processes
nodule morphogenesis	nodulation
nodule morphogenesis	post-embryonic morphogenesis
non-apoptotic programmed cell death	programmed cell death
non-conservative mitochondrial IMS protein import	mitochondrial intermembrane space protein import
non-covalent chromatin modification	chromatin modification
non-eye photoreceptor cell development	non-eye photoreceptor cell differentiation
non-eye photoreceptor cell development	photoreceptor cell development
non-eye photoreceptor cell differentiation	photoreceptor cell differentiation
non-eye photoreceptor cell fate commitment	non-eye photoreceptor cell differentiation
non-eye photoreceptor cell fate commitment	photoreceptor cell fate commitment
non-eye photoreceptor development (sensu Drosophila)	non-eye photoreceptor cell development
non-eye photoreceptor development (sensu Drosophila)	photoreceptor cell morphogenesis (sensu Drosophila)
non-glycolytic fermentation	fermentation
non-lytic ER membrane viral budding	ER membrane viral budding
non-lytic ER membrane viral budding	non-lytic viral budding
non-lytic Golgi membrane viral budding	Golgi membrane viral budding
non-lytic Golgi membrane viral budding	non-lytic viral budding
non-lytic plasma membrane viral budding	non-lytic viral budding
non-lytic plasma membrane viral budding	plasma membrane viral budding
non-lytic viral budding	non-lytic viral release
non-lytic viral exocytosis	non-lytic viral release
non-lytic viral release	viral release
non-phosphorylated glucose catabolism	glucose catabolism
non-phosphorylated glucose catabolism	non-phosphorylated glucose metabolism
non-phosphorylated glucose metabolism	glucose metabolism
non-recombinational repair	DNA repair
nonassociative learning	learning
noncyclic photosynthetic phosphorylation	photosynthetic phosphorylation
nonprotein amino acid biosynthesis	amino acid biosynthesis
nonprotein amino acid biosynthesis	nonprotein amino acid metabolism
nonprotein amino acid catabolism	amino acid catabolism
nonprotein amino acid catabolism	nonprotein amino acid metabolism
nonprotein amino acid metabolism	amino acid metabolism
nonreciprocal peptide biosynthesis	protein biosynthesis
nonselective vesicle assembly	nonselective vesicle endocytosis
nonselective vesicle budding	nonselective vesicle endocytosis
nonselective vesicle coating	nonselective vesicle endocytosis
nonselective vesicle docking	nonselective vesicle exocytosis
nonselective vesicle endocytosis	endocytosis
nonselective vesicle exocytosis	exocytosis
nonselective vesicle fusion	nonselective vesicle exocytosis
nonselective vesicle targeting	nonselective vesicle exocytosis
nonselective vesicle transport	vesicle-mediated transport
nopaline catabolism	amino acid derivative catabolism
nopaline catabolism	nopaline metabolism
nopaline catabolism to proline	nopaline catabolism
nopaline catabolism to proline	proline metabolism
nopaline metabolism	amino acid derivative metabolism
nor-spermidine biosynthesis	nor-spermidine metabolism
nor-spermidine biosynthesis	spermidine biosynthesis
nor-spermidine catabolism	nor-spermidine metabolism
nor-spermidine catabolism	spermidine catabolism
nor-spermidine metabolism	spermidine metabolism
norepinephrine biosynthesis	catecholamine biosynthesis
norepinephrine biosynthesis	hormone biosynthesis
norepinephrine biosynthesis	neurotransmitter biosynthesis
norepinephrine biosynthesis	norepinephrine metabolism
norepinephrine catabolism	catecholamine catabolism
norepinephrine catabolism	hormone catabolism
norepinephrine catabolism	neurotransmitter catabolism
norepinephrine catabolism	norepinephrine metabolism
norepinephrine metabolism	catecholamine metabolism
norepinephrine metabolism	hormone metabolism
norepinephrine metabolism	neurotransmitter metabolism
norepinephrine transport	neurotransmitter transport
notum morphogenesis	embryonic morphogenesis
notum morphogenesis	wing disc metamorphosis
nuclear body organization and biogenesis	nuclear organization and biogenesis
nuclear division	M phase
nuclear egress of viral procapsid	intracellular viral capsid transport
nuclear egress of viral procapsid	nucleocytoplasmic transport
nuclear envelope reassembly	mitotic telophase
nuclear exchange during conjugation without cellular fusion	karyogamy during conjugation without cellular fusion
nuclear fragmentation	apoptotic nuclear changes
nuclear localization of viral capsid precursors	protein localization
nuclear localization of viral capsid precursors	regulation of viral protein levels
nuclear localization of viral capsid precursors	viral capsid assembly
nuclear membrane fusion	membrane fusion
nuclear membrane organization and biogenesis	membrane organization and biogenesis
nuclear membrane organization and biogenesis	nuclear organization and biogenesis
nuclear membrane vesicle binding to chromatin	nuclear envelope reassembly
nuclear membrane vesicle fusion	nuclear envelope reassembly
nuclear membrane viral budding	viral assembly\, maturation\, egress\, and release
nuclear membrane viral budding during viral capsid envelopment	nuclear membrane viral budding
nuclear membrane viral budding during viral capsid envelopment	viral capsid envelopment
nuclear membrane viral budding during viral capsid re-envelopment	nuclear membrane viral budding
nuclear membrane viral budding during viral capsid re-envelopment	viral capsid re-envelopment
nuclear migration	cell cycle
nuclear migration (sensu Fungi)	spindle pole body and microtubule cycle (sensu Fungi)
nuclear migration (sensu Saccharomyces)	nuclear migration
nuclear migration (sensu Saccharomyces)	nuclear migration (sensu Fungi)
nuclear migration (sensu Saccharomyces)	spindle pole body and microtubule cycle (sensu Saccharomyces)
nuclear migration during conjugation with cellular fusion	karyogamy during conjugation with cellular fusion
nuclear organization and biogenesis	cell organization and biogenesis
nuclear pore complex reassembly	nuclear envelope reassembly
nuclear pore organization and biogenesis	nuclear organization and biogenesis
nuclear positioning	nuclear organization and biogenesis
nuclear translocation of MAPK	MAPKKK cascade
nuclear translocation of MAPK (cell wall biogenesis)	MAPKKK cascade (cell wall biogenesis)
nuclear translocation of MAPK (cell wall biogenesis)	nuclear translocation of MAPK
nuclear translocation of MAPK (osmolarity sensing)	MAPKKK cascade (osmolarity sensing)
nuclear translocation of MAPK (osmolarity sensing)	nuclear translocation of MAPK
nuclear translocation of MAPK (pseudohyphal growth)	MAPKKK cascade (pseudohyphal growth)
nuclear translocation of MAPK (pseudohyphal growth)	nuclear translocation of MAPK
nuclear translocation of MAPK (sporulation sensu Fungi)	MAPKKK cascade (sporulation sensu Fungi)
nuclear translocation of MAPK (sporulation sensu Fungi)	nuclear translocation of MAPK
nuclear translocation of MAPK (sporulation sensu Saccharomyces)	MAPKKK cascade (sporulation sensu Saccharomyces)
nuclear translocation of MAPK (sporulation sensu Saccharomyces)	nuclear translocation of MAPK (sporulation sensu Fungi)
nuclear viral capsid transport	intracellular viral capsid transport
nucleic acid-protein covalent cross-linking	protein modification
nucleobase biosynthesis	biosynthesis
nucleobase biosynthesis	nucleobase metabolism
nucleobase catabolism	catabolism
nucleobase catabolism	nucleobase metabolism
nucleobase metabolism	aromatic compound metabolism
nucleobase metabolism	heterocycle metabolism
nucleobase metabolism	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
nucleobase transport	nucleobase\, nucleoside\, nucleotide and nucleic acid transport
nucleobase\, nucleoside and nucleotide interconversion	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism	metabolism
nucleobase\, nucleoside\, nucleotide and nucleic acid transport	transport
nucleocytoplasmic transport	intracellular transport
nucleolar fragmentation	cell aging
nucleolar fragmentation during replicative aging	nucleolar fragmentation
nucleolar fragmentation during replicative aging	replicative cell aging
nucleologenesis	nuclear organization and biogenesis
nucleolus organization and biogenesis	nuclear organization and biogenesis
nucleoside biosynthesis	biosynthesis
nucleoside biosynthesis	nucleoside metabolism
nucleoside catabolism	catabolism
nucleoside catabolism	nucleoside metabolism
nucleoside diphosphate biosynthesis	nucleoside diphosphate metabolism
nucleoside diphosphate biosynthesis	nucleotide biosynthesis
nucleoside diphosphate catabolism	nucleoside diphosphate metabolism
nucleoside diphosphate catabolism	nucleotide catabolism
nucleoside diphosphate metabolism	nucleotide metabolism
nucleoside diphosphate phosphorylation	nucleoside diphosphate metabolism
nucleoside diphosphate phosphorylation	nucleotide phosphorylation
nucleoside metabolism	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
nucleoside monophosphate biosynthesis	nucleoside monophosphate metabolism
nucleoside monophosphate biosynthesis	nucleotide biosynthesis
nucleoside monophosphate catabolism	nucleoside monophosphate metabolism
nucleoside monophosphate catabolism	nucleotide catabolism
nucleoside monophosphate metabolism	nucleotide metabolism
nucleoside monophosphate phosphorylation	nucleoside monophosphate metabolism
nucleoside monophosphate phosphorylation	nucleotide phosphorylation
nucleoside phosphate metabolism	group transfer coenzyme metabolism
nucleoside transport	nucleobase\, nucleoside\, nucleotide and nucleic acid transport
nucleoside triphosphate biosynthesis	nucleoside triphosphate metabolism
nucleoside triphosphate biosynthesis	nucleotide biosynthesis
nucleoside triphosphate catabolism	nucleoside triphosphate metabolism
nucleoside triphosphate catabolism	nucleotide catabolism
nucleoside triphosphate metabolism	nucleotide metabolism
nucleosome assembly	chromatin assembly/disassembly
nucleosome disassembly	chromatin assembly/disassembly
nucleosome mobilization	chromatin assembly/disassembly
nucleosome spacing	nucleosome assembly
nucleosome spacing	nucleosome disassembly
nucleotide biosynthesis	biosynthesis
nucleotide biosynthesis	nucleotide metabolism
nucleotide catabolism	catabolism
nucleotide catabolism	nucleotide metabolism
nucleotide metabolism	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
nucleotide phosphorylation	nucleotide metabolism
nucleotide phosphorylation	phosphorylation
nucleotide transport	nucleobase\, nucleoside\, nucleotide and nucleic acid transport
nucleotide-excision repair	DNA repair
nucleotide-excision repair\, DNA damage recognition	nucleotide-excision repair
nucleotide-excision repair\, DNA damage removal	nucleotide-excision repair
nucleotide-excision repair\, DNA duplex unwinding	nucleotide-excision repair
nucleotide-excision repair\, DNA gap filling	nucleotide-excision repair
nucleotide-excision repair\, DNA incision\, 3' to lesion	nucleotide-excision repair
nucleotide-excision repair\, DNA incision\, 5' to lesion	nucleotide-excision repair
nucleotide-excision repair\, preincision complex formation	nucleotide-excision repair
nucleotide-excision repair\, preincision complex stabilization	nucleotide-excision repair
nucleotide-sugar biosynthesis	biosynthesis
nucleotide-sugar biosynthesis	nucleotide-sugar metabolism
nucleotide-sugar catabolism	catabolism
nucleotide-sugar catabolism	nucleotide-sugar metabolism
nucleotide-sugar metabolism	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism
nucleotide-sugar transport	carbohydrate transport
nucleotide-sulfate transport	sulfate transport
nurse cell apoptosis	apoptosis
nurse cell apoptosis	nurse cell/oocyte transport (sensu Insecta)
nurse cell nucleus anchoring	nurse cell/oocyte transport (sensu Insecta)
nurse cell/oocyte transport (sensu Insecta)	oogenesis (sensu Insecta)
nutrient uptake	physiological processes
nylon catabolism	nylon metabolism
nylon catabolism	xenobiotic catabolism
nylon metabolism	xenobiotic metabolism
o-xylene catabolism	o-xylene metabolism
o-xylene catabolism	xylene catabolism
o-xylene metabolism	xylene metabolism
ocellus morphogenesis	embryonic morphogenesis
ocellus morphogenesis	eye-antennal disc metamorphosis
ocellus pigment biosynthesis	ocellus pigment metabolism
ocellus pigment biosynthesis	pigment biosynthesis
ocellus pigment catabolism	ocellus pigment metabolism
ocellus pigment catabolism	pigment catabolism
ocellus pigment granule morphogenesis	ocellus morphogenesis
ocellus pigment granule morphogenesis	photoreceptor pigment granule morphogenesis
ocellus pigment metabolism	pigment metabolism
octamethylcyclotetrasiloxane catabolism	octamethylcyclotetrasiloxane metabolism
octamethylcyclotetrasiloxane catabolism	organosilicone catabolism
octamethylcyclotetrasiloxane catabolism to dimethylsilanediol	anaerobic organosilicone metabolism
octamethylcyclotetrasiloxane catabolism to dimethylsilanediol	dimethylsilanediol metabolism
octamethylcyclotetrasiloxane catabolism to dimethylsilanediol	octamethylcyclotetrasiloxane catabolism
octamethylcyclotetrasiloxane metabolism	heterocycle metabolism
octamethylcyclotetrasiloxane metabolism	organosilicone metabolism
octanol biosynthesis	alcohol biosynthesis
octanol biosynthesis	octanol metabolism
octanol catabolism	alcohol catabolism
octanol catabolism	octanol metabolism
octanol metabolism	alcohol metabolism
octopamine biosynthesis	biogenic amine biosynthesis
octopamine biosynthesis	neurotransmitter biosynthesis
octopamine biosynthesis	octopamine metabolism
octopamine catabolism	biogenic amine catabolism
octopamine catabolism	neurotransmitter catabolism
octopamine catabolism	octopamine metabolism
octopamine metabolism	biogenic amine metabolism
octopamine metabolism	neurotransmitter metabolism
octopamine/tyramine signaling pathway	G-protein coupled receptor protein signaling pathway
octopine catabolism	amino acid derivative catabolism
octopine catabolism	octopine metabolism
octopine catabolism to proline	octopine catabolism
octopine catabolism to proline	proline metabolism
octopine metabolism	amino acid derivative metabolism
odontogenesis	organogenesis
odontogenesis (sensu Invertebrata)	odontogenesis
odontogenesis (sensu Vertebrata)	odontogenesis
oenocyte development	oenocyte differentiation
oenocyte differentiation	cell differentiation
olfaction	chemosensory perception
olfactory behavior	chemosensory behavior
olfactory learning	learning
oligopeptide transport	peptide transport
oligosaccharide biosynthesis	carbohydrate biosynthesis
oligosaccharide biosynthesis	oligosaccharide metabolism
oligosaccharide catabolism	carbohydrate catabolism
oligosaccharide catabolism	oligosaccharide metabolism
oligosaccharide metabolism	carbohydrate metabolism
oligosaccharide transport	carbohydrate transport
oligosaccharide-lipid intermediate assembly	dolichol-linked oligosaccharide biosynthesis
ommatidial rotation	establishment of ommatidial polarity (sensu Drosophila)
ommochrome biosynthesis	eye pigment biosynthesis
ommochrome biosynthesis	ocellus pigment biosynthesis
ommochrome biosynthesis	ommochrome metabolism
ommochrome catabolism	eye pigment catabolism
ommochrome catabolism	ocellus pigment catabolism
ommochrome catabolism	ommochrome metabolism
ommochrome metabolism	aromatic compound metabolism
ommochrome metabolism	eye pigment metabolism
ommochrome metabolism	heterocycle metabolism
ommochrome metabolism	ocellus pigment metabolism
one-carbon compound biosynthesis	biosynthesis
one-carbon compound biosynthesis	one-carbon compound metabolism
one-carbon compound catabolism	catabolism
one-carbon compound catabolism	one-carbon compound metabolism
one-carbon compound metabolism	metabolism
one-carbon compound transport	transport
oocyte anterior/posterior axis determination	anterior/posterior axis specification
oocyte anterior/posterior axis determination	oocyte axis determination
oocyte anterior/posterior axis determination (sensu Insecta)	oocyte anterior/posterior axis determination
oocyte anterior/posterior axis determination (sensu Insecta)	oocyte axis determination (sensu Insecta)
oocyte axis determination	axis specification
oocyte axis determination	oocyte construction
oocyte axis determination (sensu Insecta)	oocyte axis determination
oocyte axis determination (sensu Insecta)	oocyte construction (sensu Insecta)
oocyte cell fate determination	cell fate determination
oocyte cell fate determination (sensu Insecta)	oocyte cell fate determination
oocyte cell fate determination (sensu Insecta)	oocyte differentiation (sensu Insecta)
oocyte construction	oogenesis
oocyte construction (sensu Insecta)	oocyte construction
oocyte construction (sensu Insecta)	oogenesis (sensu Insecta)
oocyte differentiation	cell differentiation
oocyte differentiation	oogenesis
oocyte differentiation (sensu Insecta)	egg chamber formation (sensu Insecta)
oocyte differentiation (sensu Insecta)	oocyte differentiation
oocyte dorsal/ventral axis determination	dorsal/ventral axis specification
oocyte dorsal/ventral axis determination	oocyte axis determination
oocyte dorsal/ventral axis determination (sensu Insecta)	oocyte axis determination (sensu Insecta)
oocyte dorsal/ventral axis determination (sensu Insecta)	oocyte dorsal/ventral axis determination
oocyte growth	cell growth
oocyte growth	oogenesis
oocyte growth (sensu Insecta)	egg chamber growth (sensu Insecta)
oocyte growth (sensu Insecta)	oocyte growth
oocyte maturation	oocyte differentiation
oocyte microtubule cytoskeleton organization	microtubule cytoskeleton organization and biogenesis
oocyte microtubule cytoskeleton organization	oocyte construction
oocyte microtubule cytoskeleton organization (sensu Insecta)	oocyte construction (sensu Insecta)
oocyte microtubule cytoskeleton organization (sensu Insecta)	oocyte microtubule cytoskeleton organization
oocyte microtubule cytoskeleton polarization	oocyte axis determination
oocyte microtubule cytoskeleton polarization	oocyte microtubule cytoskeleton organization
oocyte microtubule cytoskeleton polarization (sensu Insecta)	oocyte axis determination (sensu Insecta)
oocyte microtubule cytoskeleton polarization (sensu Insecta)	oocyte microtubule cytoskeleton organization (sensu Insecta)
oocyte microtubule cytoskeleton polarization (sensu Insecta)	oocyte microtubule cytoskeleton polarization
oocyte nucleus anchoring	oocyte nucleus positioning
oocyte nucleus anchoring (sensu Insecta)	oocyte nucleus anchoring
oocyte nucleus anchoring (sensu Insecta)	oocyte nucleus positioning (sensu Insecta)
oocyte nucleus migration	nuclear migration
oocyte nucleus migration	oocyte nucleus positioning
oocyte nucleus migration (sensu Insecta)	oocyte nucleus migration
oocyte nucleus migration (sensu Insecta)	oocyte nucleus positioning (sensu Insecta)
oocyte nucleus positioning	nuclear positioning
oocyte nucleus positioning	oocyte dorsal/ventral axis determination
oocyte nucleus positioning (sensu Insecta)	oocyte dorsal/ventral axis determination (sensu Insecta)
oocyte nucleus positioning (sensu Insecta)	oocyte nucleus positioning
oocyte positioning	egg chamber formation (sensu Insecta)
oogenesis	gametogenesis
oogenesis (sensu Insecta)	oogenesis
oogenesis (sensu Mammalia)	oogenesis
oogonium stage oogenesis	oogenesis (sensu Mammalia)
opsinization	phagocytosis
optic placode development (sensu Drosophila)	Bolwig's organ morphogenesis
optic placode formation	embryonic morphogenesis
optic placode formation (sensu Drosophila)	embryonic eye morphogenesis (sensu Drosophila)
optic placode formation (sensu Drosophila)	optic placode formation
optic placode formation (sensu Mammalia)	eye morphogenesis (sensu Mammalia)
optic placode formation (sensu Mammalia)	optic placode formation
optokinetic behavior	visual behavior
orcinol biosynthesis	alcohol biosynthesis
orcinol biosynthesis	aromatic compound biosynthesis
orcinol biosynthesis	orcinol metabolism
orcinol catabolism	alcohol catabolism
orcinol catabolism	aromatic compound catabolism
orcinol catabolism	orcinol metabolism
orcinol metabolism	phenol metabolism
orcinol metabolism	toluene metabolism
organelle organization and biogenesis	cytoplasm organization and biogenesis
organic acid biosynthesis	biosynthesis
organic acid biosynthesis	organic acid metabolism
organic acid catabolism	catabolism
organic acid catabolism	organic acid metabolism
organic acid metabolism	metabolism
organic acid transport	transport
organic alcohol transport	transport
organic anion transport	anion transport
organic cation transport	cation transport
organic ether metabolism	xenobiotic metabolism
organogenesis	morphogenesis
organomercurial transport	drug transport
organomercury biosynthesis	biosynthesis
organomercury biosynthesis	organomercury metabolism
organomercury catabolism	catabolism
organomercury catabolism	organomercury metabolism
organomercury metabolism	organometal metabolism
organometal metabolism	metabolism
organophosphate catabolism	organophosphate metabolism
organophosphate catabolism	xenobiotic catabolism
organophosphate ester transport	organic anion transport
organophosphate metabolism	xenobiotic metabolism
organosilicone catabolism	organosilicone metabolism
organosilicone catabolism	xenobiotic catabolism
organosilicone metabolism	xenobiotic metabolism
organosulfide cycle	sulfur metabolism
organotin metabolism	organometal metabolism
ornithine biosynthesis	nonprotein amino acid biosynthesis
ornithine biosynthesis	ornithine metabolism
ornithine catabolism	nonprotein amino acid catabolism
ornithine catabolism	ornithine metabolism
ornithine catabolism via proline	ornithine catabolism
ornithine catabolism via proline	proline metabolism
ornithine catabolism\, by decarboxylation	ornithine catabolism
ornithine metabolism	nonprotein amino acid metabolism
ornithine metabolism	urea cycle intermediate metabolism
ornithine transport	L-amino acid transport
orthokinesis	kinesis
osmoregulation	physiological processes
osmosensory signaling pathway	cell surface receptor linked signal transduction
osmosensory signaling pathway via Sho1 osmosensor	osmosensory signaling pathway
osmosensory signaling pathway via two-component system	osmosensory signaling pathway
osmosensory signaling pathway via two-component system	two-component signal transduction system (phosphorelay)
ossification	bone remodeling
ossification	skeletal development
osteoblast differentiation	cell differentiation
osteoblast differentiation	ossification
osteoclast differentiation	cell differentiation
otolith mineralization	mesoderm development
otolith mineralization	ossification
outer ear morphogenesis	ear morphogenesis
outer mitochondrial membrane organization and biogenesis	mitochondrial membrane organization and biogenesis
outer nuclear membrane viral budding during viral capsid envelopment	nuclear membrane viral budding during viral capsid envelopment
outer nuclear membrane viral budding during viral capsid re-envelopment	nuclear membrane viral budding during viral capsid re-envelopment
ovarian cumulus cell differentiation	antral ovarian follicle growth
ovarian cumulus cell differentiation	fused antrum stage oogenesis
ovarian cumulus expansion	antral ovarian follicle growth
ovarian cumulus expansion	fused antrum stage oogenesis
ovarian follicle antrum/follicular fluid formation	antral ovarian follicle growth
ovarian follicle antrum/follicular fluid formation	distinct antral spaces stage oogenesis
ovarian follicle antrum/follicular fluid formation	fused antrum stage oogenesis
ovarian follicle antrum/follicular fluid formation	scattered antral spaces stage oogenesis
ovarian follicle atresia	female gonad development
ovarian follicle cell development (sensu Insecta)	oogenesis (sensu Insecta)
ovarian follicle development	female gonad development
ovarian follicle development	menstrual cycle
ovarian follicle endowment	ovarian follicle development
ovarian follicle rupture	ovulation (sensu Mammalia)
ovarian fusome organization and biogenesis	egg chamber formation (sensu Insecta)
ovarian fusome organization and biogenesis	fusome organization and biogenesis
ovarian ring canal formation	egg chamber formation (sensu Insecta)
ovarian ring canal formation	nurse cell/oocyte transport (sensu Insecta)
ovarian ring canal formation	ring canal formation
ovarian ring canal stabilization	nurse cell/oocyte transport (sensu Insecta)
oviposition	reproductive behavior
ovulation	oogenesis
ovulation (sensu Mammalia)	female gonad development
ovulation (sensu Mammalia)	menstrual cycle
ovulation (sensu Mammalia)	ovulation
oxalate transport	dicarboxylic acid transport
oxalic acid secretion	acid secretion
oxaloacetate metabolism	TCA intermediate metabolism
oxaloacetate metabolism	carboxylic acid metabolism
oxaloacetate transport	monocarboxylic acid transport
oxazole/thiazole biosynthesis	heterocycle biosynthesis
oxazole/thiazole biosynthesis	oxazole/thiazole metabolism
oxazole/thiazole metabolism	heterocycle metabolism
