mitochondrion inheritance	GO:0000001
protein catenane formation	GO:0018419
protein-protein cross-linking via N6-(L-isoaspartyl)-L-lysine	GO:0018420
peptidyl-glutamic acid poly-ADP-ribosylation	GO:0018424
O3-(N-acetylglucosamine-1-phosphoryl)-L-serine biosynthesis	GO:0018425
O3-(phosphoglycosyl-D-mannose-1-phosphoryl)-L-serine biosynthesis	GO:0018426
copper incorporation into metallo-sulfur cluster	GO:0018427
copper incorporation into copper-sulfur cluster	GO:0018428
copper incorporation into copper-sulfur cluster via heptakis-L-histidino tetracopper mu4-sulfide hydroxide	GO:0018429
peptidyl-leucine esterification	GO:0018439
iron incorporation into iron-sulfur cluster via hexakis-L-cysteinyl L-serinyl octairon heptasulfide	GO:0018441
peptidyl-glutamic acid esterification	GO:0018442
enzyme active site formation via L-aspartic 4-phosphoric anhydride	GO:0018443
peptidyl-cysteine acetylation	GO:0018533
acetylene metabolism	GO:0018864
acrylonitrile metabolism	GO:0018865
adamantanone metabolism	GO:0018866
alpha-pinene metabolism	GO:0018867
2-aminobenzenesulfonate metabolism	GO:0018868
2-aminobenzoate metabolism	GO:0018869
anaerobic 2-aminobenzoate metabolism	GO:0018870
1-aminocyclopropane-1-carboxylate metabolism	GO:0018871
arsonoacetate metabolism	GO:0018872
atrazine metabolism	GO:0018873
benzoate metabolism	GO:0018874
anaerobic benzoate metabolism	GO:0018875
benzonitrile metabolism	GO:0018876
beta-1\,2\,3\,4\,5\,6-hexachlorocyclohexane metabolism	GO:0018877
aerobic beta-1\,2\,3\,4\,5\,6-hexachlorocyclohexane metabolism	GO:0018878
biphenyl metabolism	GO:0018879
4-chlorobiphenyl metabolism	GO:0018880
bromoxynil metabolism	GO:0018881
(+)-camphor metabolism	GO:0018882
caprolactam metabolism	GO:0018883
carbazole metabolism	GO:0018884
carbon tetrachloride metabolism	GO:0018885
anaerobic carbon tetrachloride metabolism	GO:0018886
4-carboxy-4'-sulfoazobenzene metabolism	GO:0018887
3-chloroacrylic acid metabolism	GO:0018888
2-chloro-N-isopropylacetanilide metabolism	GO:0018889
cyanamide metabolism	GO:0018890
cyclohexanol metabolism	GO:0018891
cyclohexylsulfamate metabolism	GO:0018892
dibenzofuran metabolism	GO:0018893
dibenzo-p-dioxin metabolism	GO:0018894
dibenzothiophene metabolism	GO:0018895
dibenzothiophene catabolism	GO:0018896
dibenzothiophene desulfurization	GO:0018897
2\,4-dichlorobenzoate metabolism	GO:0018898
1\,2-dichloroethane metabolism	GO:0018899
dichloromethane metabolism	GO:0018900
2\,4-dichlorophenoxyacetic acid metabolism	GO:0018901
1\,3-dichloro-2-propanol metabolism	GO:0018902
1\,3-dichloropropene metabolism	GO:0018903
organic ether metabolism	GO:0018904
dimethyl ether metabolism	GO:0018905
methyl tert-butyl ether metabolism	GO:0018906
dimethyl sulfoxide metabolism	GO:0018907
organosulfide cycle	GO:0018908
dodecyl sulfate metabolism	GO:0018909
benzene metabolism	GO:0018910
1\,2\,4-trichlorobenzene metabolism	GO:0018911
1\,4-dichlorobenzene metabolism	GO:0018912
anaerobic ethylbenzene metabolism	GO:0018913
chlorobenzene metabolism	GO:0018914
ethylbenzene metabolism	GO:0018915
nitrobenzene metabolism	GO:0018916
fluorene metabolism	GO:0018917
gallate metabolism	GO:0018918
gamma-1\,2\,3\,4\,5\,6-hexachlorocyclohexane metabolism	GO:0018919
glyphosate metabolism	GO:0018920
3-hydroxybenzyl alcohol metabolism	GO:0018921
iprodione metabolism	GO:0018922
limonene metabolism	GO:0018923
mandelate metabolism	GO:0018924
m-cresol metabolism	GO:0018925
methanesulfonic acid metabolism	GO:0018926
methyl ethyl ketone metabolism	GO:0018928
methyl fluoride metabolism	GO:0018929
3-methylquinoline metabolism	GO:0018930
naphthalene metabolism	GO:0018931
nicotine metabolism	GO:0018933
nitrilotriacetate metabolism	GO:0018934
aerobic nitrilotriacetate metabolism	GO:0018935
anaerobic nitrilotriacetate metabolism	GO:0018936
nitroglycerin metabolism	GO:0018937
2-nitropropane metabolism	GO:0018938
n-octane metabolism	GO:0018939
orcinol metabolism	GO:0018940
organomercury metabolism	GO:0018941
organometal metabolism	GO:0018942
organotin metabolism	GO:0018943
tri-n-butyltin metabolism	GO:0018944
organosilicone metabolism	GO:0018945
aerobic organosilicone metabolism	GO:0018946
anaerobic organosilicone metabolism	GO:0018947
xylene metabolism	GO:0018948
m-xylene metabolism	GO:0018949
o-xylene metabolism	GO:0018950
p-xylene metabolism	GO:0018951
parathion metabolism	GO:0018952
p-cymene metabolism	GO:0018953
pentaerythritol tetranitrate metabolism	GO:0018954
phenanthrene metabolism	GO:0018955
phenanthrene catabolism via trans-9(R)\,10(R)-dihydrodiolphenanthrene	GO:0018956
phenanthrene catabolism via trans-9(S)\,10(S)-dihydrodiolphenanthrene	GO:0018957
phenol metabolism	GO:0018958
aerobic phenol metabolism	GO:0018959
4-nitrophenol metabolism	GO:0018960
pentachlorophenol metabolism	GO:0018961
3-phenylpropionate metabolism	GO:0018962
phthalate metabolism	GO:0018963
propylene metabolism	GO:0018964
s-triazine compound metabolism	GO:0018965
styrene metabolism	GO:0018966
tetrachloroethene metabolism	GO:0018967
tetrahydrofuran metabolism	GO:0018968
thiocyanate metabolism	GO:0018969
toluene metabolism	GO:0018970
anaerobic toluene metabolism	GO:0018971
toluene-4-sulfonate metabolism	GO:0018972
trinitrotoluene metabolism	GO:0018973
2\,4\,6-trinitrotoluene metabolism	GO:0018974
anaerobic 2\,4\,6-trinitrotoluene metabolism	GO:0018975
1\,2\,3-tribromopropane metabolism	GO:0018976
1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	GO:0018977
anaerobic 1\,1\,1-trichloro-2\,2-bis-(4'-chlorophenyl)ethane metabolism	GO:0018978
trichloroethylene metabolism	GO:0018979
2\,4\,5-trichlorophenoxyacetic acid metabolism	GO:0018980
triethanolamine metabolism	GO:0018981
vanillin metabolism	GO:0018982
Z-phenylacetaldoxime metabolism	GO:0018983
naphthalenesulfonate metabolism	GO:0018984
pronuclear envelope synthesis	GO:0018985
mitotic spindle positioning	GO:0018986
osmoregulation	GO:0018987
molting cycle (sensu Invertebrata)	GO:0018988
apolysis	GO:0018989
ecdysis (sensu Insecta)	GO:0018990
oviposition	GO:0018991
germ-line sex determination	GO:0018992
somatic sex determination	GO:0018993
molting cycle (sensu Nematoda)	GO:0018996
latent virus infection	GO:0019042
establishment of viral latency	GO:0019043
latent virus maintenance	GO:0019044
latent virus replication	GO:0019045
reactivation of latent virus	GO:0019046
provirus integration	GO:0019047
virus-host interaction	GO:0019048
viral host defense evasion	GO:0019049
viral inhibition of apoptosis	GO:0019050
induction of apoptosis by virus	GO:0019051
viral inhibition of intracellular antiviral response	GO:0019052
viral inhibition of extracellular antiviral response	GO:0019053
viral host cell process manipulation	GO:0019054
viral perturbation of cell cycle regulation	GO:0019055
viral perturbation of host cell transcription	GO:0019056
viral perturbation of host cell mRNA translation	GO:0019057
viral infectious cycle	GO:0019058
initiation of viral infection	GO:0019059
viral intracellular protein transport	GO:0019060
viral uncoating	GO:0019061
virion attachment	GO:0019062
virion penetration	GO:0019063
viral envelope fusion	GO:0019064
viral receptor mediated endocytosis	GO:0019065
viral translocation	GO:0019066
viral assembly\, maturation\, egress\, and release	GO:0019067
viral assembly	GO:0019068
viral capsid assembly	GO:0019069
viral genome maturation	GO:0019070
viral DNA cleavage	GO:0019071
viral genome packaging	GO:0019072
viral DNA genome packaging	GO:0019073
viral RNA genome packaging	GO:0019074
viral particle maturation	GO:0019075
viral release	GO:0019076
lytic viral release	GO:0019077
lytic viral budding	GO:0019078
viral genome replication	GO:0019079
viral genome expression	GO:0019080
viral protein biosynthesis	GO:0019081
viral protein processing	GO:0019082
viral transcription	GO:0019083
(delayed) early viral mRNA transcription	GO:0019084
immediate early viral mRNA transcription	GO:0019085
late viral mRNA transcription	GO:0019086
viral transformation	GO:0019087
viral immortalization	GO:0019088
viral transmission	GO:0019089
mitochondrial rRNA\, mitochondrial export	GO:0019090
mitochondrial lrRNA\, mitochondrial export	GO:0019091
mitochondrial srRNA\, mitochondrial export	GO:0019092
mitochondrial RNA localization	GO:0019093
pole plasm mRNA localization	GO:0019094
pole plasm mitochondrial rRNA localization	GO:0019095
pole plasm mitochondrial lrRNA localization	GO:0019096
pole plasm mitochondrial srRNA localization	GO:0019097
reproductive behavior	GO:0019098
female germ-line sex determination	GO:0019099
male germ-line sex determination	GO:0019100
female somatic sex determination	GO:0019101
male somatic sex determination	GO:0019102
peptidoglycan-protein cross-linking via N6-mureinyl-L-lysine	GO:0019121
peptidyl-D-alanine racemization	GO:0019122
peptidyl-methionine racemization	GO:0019123
peptidyl-isoleucine racemization	GO:0019124
peptidyl-phenylalanine racemization	GO:0019125
peptidyl-serine racemization	GO:0019126
peptidyl-tryptophan racemization	GO:0019128
peptidyl-leucine racemization	GO:0019129
protein amino acid arginylation	GO:0019130
nonreciprocal peptide biosynthesis	GO:0019184
regulation of lipid metabolism	GO:0019216
regulation of fatty acid metabolism	GO:0019217
regulation of steroid metabolism	GO:0019218
regulation of nucleobase\, nucleoside\, nucleotide and nucleic acid metabolism	GO:0019219
regulation of phosphate metabolism	GO:0019220
cytokine and chemokine mediated signaling pathway	GO:0019221
regulation of metabolism	GO:0019222
transmission of nerve impulse	GO:0019226
action potential propagation	GO:0019227
generation of action potential	GO:0019228
regulation of vasoconstriction	GO:0019229
proprioception	GO:0019230
perception of static position	GO:0019231
perception of rate of movement	GO:0019232
perception of pain	GO:0019233
perception of fast pain	GO:0019234
perception of slow pain	GO:0019235
response to pheromone	GO:0019236
citrulline biosynthesis	GO:0019240
citrulline catabolism	GO:0019241
methylglyoxal biosynthesis	GO:0019242
methylglyoxal catabolism	GO:0019243
lactate biosynthesis from pyruvate	GO:0019244
D(-)-lactate biosynthesis from pyruvate	GO:0019245
L(+)-lactate biosynthesis from pyruvate	GO:0019246
lactate racemization	GO:0019247
D-lactate biosynthesis from methylglyoxal	GO:0019248
lactate biosynthesis	GO:0019249
vitamin B12 biosynthesis\, aerobic	GO:0019250
vitamin B12 biosynthesis\, anaerobic	GO:0019251
starch biosynthesis	GO:0019252
reductive pentose-phosphate cycle	GO:0019253
carnitine metabolism\, CoA-linked	GO:0019254
glucose 1-phosphate metabolism	GO:0019255
acrylonitrile catabolism	GO:0019256
4-nitrotoluene metabolism	GO:0019257
4-nitrotoluene catabolism	GO:0019258
2-aminobenzoate catabolism	GO:0019259
1\,2-dichloroethane catabolism	GO:0019260
1\,4-dichlorobenzene catabolism	GO:0019261
N-acetylneuraminate catabolism	GO:0019262
adamantanone catabolism	GO:0019263
glycine biosynthesis from serine	GO:0019264
glycine biosynthesis\, by transamination of glyoxylate	GO:0019265
asparagine biosynthesis from oxaloacetate	GO:0019266
asparagine biosynthesis from cysteine	GO:0019267
glutamate biosynthesis\, using glutamate dehydrogenase (NAD(P)+)	GO:0019268
glutamate biosynthesis\, using glutamate synthase (NADPH)	GO:0019269
aerobactin biosynthesis	GO:0019270
aerobactin transport	GO:0019271
alanine biosynthesis from pyruvate	GO:0019272
alanine biosynthesis via ornithine	GO:0019273
phenylalanine biosynthesis\, prephenate pathway	GO:0019274
phenylalanine biosynthesis\, shikimate pathway	GO:0019275
UDP-N-acetylgalactosamine metabolism	GO:0019276
UDP-N-acetylgalactosamine biosynthesis	GO:0019277
UDP-N-acetylgalactosamine catabolism	GO:0019278
methionine biosynthesis from L-homoserine via cystathione	GO:0019279
methionine biosynthesis from homoserine via O-acetyl-L-homoserine and cystathione	GO:0019280
methionine biosynthesis from homoserine via O-succinyl-L-homoserine and cystathione	GO:0019281
methionine biosynthesis\, direct\, from O-acetyl-L-homoserine	GO:0019282
methionine biosynthesis from O-phospho-L-homoserine and cystathione	GO:0019283
methionine biosynthesis from S-adenosylmethionine	GO:0019284
betaine biosynthesis from choline	GO:0019285
betaine biosynthesis from glycine	GO:0019286
isopentenyl diphosphate biosynthesis via mevalonate	GO:0019287
isopentenyl diphosphate biosynthesis\, mevalonate independent	GO:0019288
rhizobactin 1021 biosynthesis	GO:0019289
siderochrome biosynthesis	GO:0019290
tyrosine biosynthesis from chorismate via phenylalanine	GO:0019291
tyrosine biosynthesis from chorismate via 4-hydroxyphenylpyruvate	GO:0019292
tyrosine biosynthesis\, by oxidation of phenylalanine	GO:0019293
ketodeoxyoctanoate biosynthesis	GO:0019294
coenzyme M biosynthesis	GO:0019295
coenzyme M metabolism	GO:0019296
coenzyme B metabolism	GO:0019297
coenzyme B biosynthesis	GO:0019298
rhamnose metabolism	GO:0019299
rhamnose biosynthesis	GO:0019300
rhamnose catabolism	GO:0019301
ribose biosynthesis	GO:0019302
ribose catabolism	GO:0019303
anaerobic rhamnose catabolism	GO:0019304
dTDP-rhamnose biosynthesis	GO:0019305
GDP-D-rhamnose biosynthesis	GO:0019306
mannose biosynthesis	GO:0019307
dTDP-mannose biosynthesis	GO:0019308
mannose catabolism	GO:0019309
myo-inositol catabolism	GO:0019310
sorbose metabolism	GO:0019311
L-sorbose metabolism	GO:0019312
allose metabolism	GO:0019313
D-allose metabolism	GO:0019314
D-allose biosynthesis	GO:0019315
D-allose catabolism	GO:0019316
fucose catabolism	GO:0019317
hexose metabolism	GO:0019318
hexose biosynthesis	GO:0019319
hexose catabolism	GO:0019320
pentose metabolism	GO:0019321
pentose biosynthesis	GO:0019322
pentose catabolism	GO:0019323
L-lyxose metabolism	GO:0019324
anaerobic fructose catabolism	GO:0019325
nitrotoluene metabolism	GO:0019326
oxidation of lead sulfide	GO:0019327
anaerobic gallate catabolism	GO:0019328
ammonia oxidation	GO:0019329
aldoxime metabolism	GO:0019330
anaerobic respiration\, using ammonium as electron donor	GO:0019331
aerobic respiration\, using nitrite as electron donor	GO:0019332
denitrification pathway	GO:0019333
p-cymene catabolism	GO:0019334
3-methylquinoline catabolism	GO:0019335
phenol catabolism	GO:0019336
tetrachloroethene catabolism	GO:0019337
pentachlorophenol catabolism	GO:0019338
parathion catabolism	GO:0019339
dibenzofuran catabolism	GO:0019340
dibenzo-p-dioxin catabolism	GO:0019341
trypanothione biosynthesis	GO:0019342
cysteine biosynthesis via cystathione	GO:0019343
cysteine biosynthesis	GO:0019344
cysteine biosynthesis via S-sulfo-L-cysteine	GO:0019345
transsulfuration	GO:0019346
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol biosynthesis	GO:0019347
dolichol metabolism	GO:0019348
ribitol metabolism	GO:0019349
teichoic acid biosynthesis	GO:0019350
dethiobiotin biosynthesis	GO:0019351
protoporphyrinogen IX biosynthesis from glycine	GO:0019352
protoporphyrinogen IX biosynthesis from glutamate	GO:0019353
siroheme biosynthesis	GO:0019354
nicotinamide nucleotide biosynthesis from aspartate	GO:0019355
nicotinate nucleotide biosynthesis from tryptophan	GO:0019356
nicotinate nucleotide biosynthesis	GO:0019357
nicotinate nucleotide biosynthesis\, salvage pathway	GO:0019358
nicotinamide nucleotide biosynthesis	GO:0019359
nicotinamide nucleotide biosynthesis from niacinamide	GO:0019360
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA biosynthesis	GO:0019361
pyridine nucleotide metabolism	GO:0019362
pyridine nucleotide biosynthesis	GO:0019363
pyridine nucleotide catabolism	GO:0019364
pyridine nucleotide cycling	GO:0019365
fatty acid elongation\, saturated fatty acid	GO:0019367
fatty acid elongation\, unsaturated fatty acid	GO:0019368
arachidonic acid metabolism	GO:0019369
leukotriene biosynthesis	GO:0019370
cyclooxygenase pathway	GO:0019371
lipoxygenase pathway	GO:0019372
epoxygenase P450 pathway	GO:0019373
galactolipid metabolism	GO:0019374
galactolipid biosynthesis	GO:0019375
galactolipid catabolism	GO:0019376
glycolipid catabolism	GO:0019377
sulfate assimilation\, phosphoadenylyl sulfate reduction by an oxidoreductase\, acting on sulfur group of donors\, NAD or NADP as acceptor	GO:0019378
sulfate assimilation\, phosphoadenylyl sulfate reduction by a phosphoadenylyl-sulfate reductase (thioredoxin)	GO:0019379
3-phenylpropionate catabolism	GO:0019380
atrazine catabolism	GO:0019381
carbon tetrachloride catabolism	GO:0019382
(+)-camphor catabolism	GO:0019383
caprolactam catabolism	GO:0019384
methanogenesis\, from acetate	GO:0019385
methanogenesis\, from carbon dioxide	GO:0019386
methanogenesis\, from methanol	GO:0019387
galactose catabolism	GO:0019388
glucuronoside metabolism	GO:0019389
glucuronoside biosynthesis	GO:0019390
glucuronoside catabolism	GO:0019391
glucarate metabolism	GO:0019392
glucarate biosynthesis	GO:0019393
glucarate catabolism	GO:0019394
fatty acid oxidation	GO:0019395
gallate catabolism	GO:0019396
gallate catabolism via 2-pyrone-4\,6-dicarboxylate	GO:0019397
gallate catabolism via 4-carboxy-2-hydroxhexa-2\,3-dienedioate	GO:0019398
cyclohexanol oxidation	GO:0019399
alditol metabolism	GO:0019400
alditol biosynthesis	GO:0019401
galactitol metabolism	GO:0019402
galactitol biosynthesis	GO:0019403
galactitol catabolism	GO:0019404
alditol catabolism	GO:0019405
hexitol biosynthesis	GO:0019406
hexitol catabolism	GO:0019407
dolichol biosynthesis	GO:0019408
aerobic respiration\, using ammonium as electron donor	GO:0019409
aerobic respiration\, using carbon monoxide as electron donor	GO:0019410
aerobic respiration\, using ferrous ions as electron donor	GO:0019411
aerobic respiration\, using hydrogen as electron donor	GO:0019412
acetate biosynthesis	GO:0019413
aerobic respiration\, using sulfur or sulfate as electron donor	GO:0019414
acetate biosynthesis from carbon monoxide	GO:0019415
polythionate oxidation	GO:0019416
sulfur oxidation	GO:0019417
sulfide oxidation	GO:0019418
sulfate reduction	GO:0019419
dissimilatory sulfate reduction	GO:0019420
sulfate reduction\, APS pathway	GO:0019421
disproportionation of elemental sulfur	GO:0019422
sulfur oxidation\, ferric ion dependent	GO:0019423
sulfide oxidation\, using siroheme sulfite reductase	GO:0019424
sulfur oxidation\, using siroheme sulfite reductase	GO:0019425
bisulfite reduction	GO:0019426
acetate utilization	GO:0019427
allantoin biosynthesis	GO:0019428
fluorene catabolism	GO:0019429
removal of superoxide radicals	GO:0019430
acetyl-CoA biosynthesis from ethanol	GO:0019431
triacylglycerol biosynthesis	GO:0019432
triacylglycerol catabolism	GO:0019433
sophorosyloxydocosanoate metabolism	GO:0019434
sophorosyloxydocosanoate biosynthesis	GO:0019435
sophorosyloxydocosanoate catabolism	GO:0019436
aromatic compound biosynthesis	GO:0019438
aromatic compound catabolism	GO:0019439
tryptophan catabolism to indole-3-acetate	GO:0019440
tryptophan catabolism to kynurenine	GO:0019441
tryptophan catabolism to acetyl-CoA	GO:0019442
tryptophan catabolism\, using tryptophanase	GO:0019443
tryptophan catabolism to catechol	GO:0019444
tyrosine catabolism to fumarate	GO:0019445
tyrosine catabolism to phosphoenolpyruvate	GO:0019446
D-cysteine catabolism	GO:0019447
L-cysteine catabolism	GO:0019448
L-cysteine catabolism to hypotaurine	GO:0019449
L-cysteine catabolism to pyruvate	GO:0019450
L-cysteine catabolism to pyruvate\, using cysteine dioxygenase	GO:0019451
L-cysteine catabolism to taurine	GO:0019452
L-cysteine catabolism via cystine	GO:0019453
L-cysteine catabolism via cystine\, using glutathione-cystine transhydrogenase	GO:0019454
L-cysteine catabolism via cystine\, using cystine reductase	GO:0019455
L-cysteine catabolism via cystine\, using cysteine transaminase	GO:0019456
methionine catabolism to succinyl-CoA	GO:0019457
methionine catabolism via 2-oxobutanoate	GO:0019458
glutamate deamidation	GO:0019459
glutamate catabolism to fumarate	GO:0019460
glutamate catabolism to fumarate\, using glutamate synthase (NADPH)	GO:0019461
glutamate catabolism to fumarate\, using glutaminase	GO:0019462
glycine catabolism to creatine	GO:0019463
glycine decarboxylation via glycine cleavage system	GO:0019464
aspartate transamidation	GO:0019465
ornithine catabolism via proline	GO:0019466
ornithine catabolism\, by decarboxylation	GO:0019467
nopaline catabolism	GO:0019468
octopine catabolism	GO:0019469
4-hydroxyproline catabolism	GO:0019470
4-hydroxyproline metabolism	GO:0019471
4-hydroxyproline biosynthesis	GO:0019472
L-lysine catabolism to glutarate\, by acetylation	GO:0019473
L-lysine catabolism to acetyl-CoA	GO:0019474
L-lysine catabolism to acetate	GO:0019475
D-lysine catabolism	GO:0019476
L-lysine catabolism	GO:0019477
D-amino acid catabolism	GO:0019478
alanine oxidation to propanoate	GO:0019479
alanine oxidation to pyruvate via D-alanine	GO:0019480
alanine catabolism\, by transamination	GO:0019481
beta-alanine metabolism	GO:0019482
beta-alanine biosynthesis	GO:0019483
beta-alanine catabolism	GO:0019484
beta-alanine catabolism to L-alanine	GO:0019485
beta-alanine catabolism to mevalonate semialdehyde\, by transamination	GO:0019486
anaerobic acetylene catabolism	GO:0019487
ribitol utilization	GO:0019488
methylgallate metabolism	GO:0019489
2-aminobenzenesulfonate desulfonation	GO:0019490
ectoine biosynthesis	GO:0019491
proline cycling	GO:0019492
arginine catabolism to proline	GO:0019493
proline oxidation	GO:0019494
proline catabolism to 2-oxoglutarate	GO:0019495
serine-isocitrate lyase pathway	GO:0019496
hexachlorocyclohexane metabolism	GO:0019497
n-octane oxidation	GO:0019498
cyanide metabolism	GO:0019499
cyanide catabolism	GO:0019500
arsonoacetate catabolism	GO:0019501
stachydrine metabolism	GO:0019502
stachydrine biosynthesis	GO:0019503
stachydrine catabolism	GO:0019504
resorcinol metabolism	GO:0019505
phenylmercury acetate catabolism	GO:0019506
pyridine metabolism	GO:0019507
2\,5-dihydroxypyridine utilization	GO:0019508
methionine recycling	GO:0019509
S-adenosylhomocysteine catabolism	GO:0019510
peptidyl-proline hydroxylation	GO:0019511
lactose catabolism via tagatose-6-phosphate	GO:0019512
lactose catabolism\, using glucoside 3-dehydrogenase	GO:0019513
lactose hydrolysis	GO:0019514
lactose catabolism via UDP-galactose	GO:0019515
lactate oxidation	GO:0019516
threonine catabolism to D-lactate	GO:0019517
threonine catabolism to pyruvate	GO:0019518
pentitol metabolism	GO:0019519
aldonic acid metabolism	GO:0019520
D-gluconate metabolism	GO:0019521
ketogluconate metabolism	GO:0019522
L-idonate metabolism	GO:0019523
D-dehydro-D-gluconate catabolism	GO:0019524
D-dehydro-D-gluconate metabolism	GO:0019525
pentitol biosynthesis	GO:0019526
pentitol catabolism	GO:0019527
D-arabitol utilization	GO:0019528
taurine catabolism	GO:0019529
taurine metabolism	GO:0019530
oxalate transport	GO:0019532
cellobiose transport	GO:0019533
vibriobactin metabolism	GO:0019536
vibriobactin biosynthesis	GO:0019537
protein metabolism	GO:0019538
siderochrome biosynthesis from hydroxamic acid	GO:0019539
siderochrome biosynthesis from catechol	GO:0019540
propionate metabolism	GO:0019541
propionate biosynthesis	GO:0019542
propionate catabolism	GO:0019543
arginine catabolism to glutamate	GO:0019544
arginine catabolism to succinate	GO:0019545
arginine deiminase pathway	GO:0019546
arginine catabolism to ornithine	GO:0019547
arginine catabolism to spermine	GO:0019548
glutamate catabolism to succinate	GO:0019549
glutamate catabolism to aspartate	GO:0019550
glutamate catabolism to 2-oxoglutarate	GO:0019551
glutamate fermentation via 2-hydroxyglutarate	GO:0019552
glutamate catabolism via L-citramalate	GO:0019553
glutamate catabolism to oxaloacetate	GO:0019554
glutamate catabolism to ornithine	GO:0019555
histidine catabolism to glutamate and formamide	GO:0019556
histidine catabolism to glutamate and formate	GO:0019557
histidine catabolism to 2-oxoglutarate	GO:0019558
histidine catabolism to imidazol-5-yl-lactate	GO:0019559
histidine catabolism to hydantoin-5-propionate	GO:0019560
anaerobic phenylalanine oxidation	GO:0019561
phenylalanine catabolism to phosphoenolpyruvate	GO:0019562
glycerol catabolism	GO:0019563
aerobic glycerol catabolism	GO:0019564
aerobic glycerol fermentation	GO:0019565
arabinose metabolism	GO:0019566
arabinose biosynthesis	GO:0019567
arabinose catabolism	GO:0019568
L-arabinose catabolism to xylulose 5-phosphate	GO:0019569
L-arabinose catabolism to 2-oxoglutarate	GO:0019570
D-arabinose catabolism	GO:0019571
L-arabinose catabolism	GO:0019572
D-arabinose catabolism to xylulose 5-phosphate	GO:0019573
sucrose catabolism\, using glucoside 3-dehydrogenase	GO:0019574
sucrose catabolism\, using beta-fructofuranosidase	GO:0019575
aerobic fructose catabolism	GO:0019576
aldaric acid metabolism	GO:0019577
aldaric acid biosynthesis	GO:0019578
aldaric acid catabolism	GO:0019579
galactarate metabolism	GO:0019580
D-galactarate catabolism	GO:0019582
galactonate metabolism	GO:0019583
galactonate catabolism	GO:0019584
glucuronate metabolism	GO:0019585
galacturonate metabolism	GO:0019586
glycerol fermentation	GO:0019588
glycerol fermentation to propane-1\,3-diol	GO:0019589
L-arabitol utilization	GO:0019590
arabitol utilization	GO:0019591
mannitol catabolism	GO:0019592
mannitol biosynthesis	GO:0019593
mannitol metabolism	GO:0019594
non-phosphorylated glucose catabolism	GO:0019595
mandelate catabolism	GO:0019596
(R)-mandelate catabolism to benzoate	GO:0019597
(R)-mandelate catabolism to catechol	GO:0019598
(R)-4-hydroxymandelate catabolism	GO:0019599
toluene oxidation	GO:0019600
toluene oxidation via 2-hydroxytoluene	GO:0019601
toluene oxidation via 3-hydroxytoluene	GO:0019602
toluene oxidation via 4-hydroxytoluene	GO:0019603
toluene oxidation to catechol	GO:0019604
butyrate metabolism	GO:0019605
2-oxobutyrate catabolism	GO:0019606
phenylethylamine catabolism	GO:0019607
nicotine catabolism	GO:0019608
3-hydroxyphenylacetate metabolism	GO:0019609
3-hydroxyphenylacetate catabolism	GO:0019610
4-toluenecarboxylate metabolism	GO:0019611
4-toluenecarboxylate catabolism	GO:0019612
bile acid 7alpha-dehydroxylation pathway	GO:0019613
catechol catabolism	GO:0019614
catechol catabolism\, ortho-cleavage	GO:0019615
catechol catabolism\, meta-cleavage	GO:0019616
protocatechuate catabolism\, meta-cleavage	GO:0019617
protocatechuate catabolism\, ortho-cleavage	GO:0019618
protocatechuate catabolism	GO:0019619
aerobic benzoate metabolism	GO:0019620
creatinine catabolism to formate	GO:0019621
3-(3-hydroxy)phenylpropionate catabolism	GO:0019622
atrazine catabolism to urea	GO:0019623
atrazine catabolism to isopropylamine	GO:0019624
atrazine catabolism to cyanuric acid	GO:0019625
short-chain fatty acid catabolism	GO:0019626
urea metabolism	GO:0019627
urate catabolism	GO:0019628
propionate catabolism\, 2-methylcitrate cycle	GO:0019629
quinate metabolism	GO:0019630
quinate catabolism	GO:0019631
shikimate metabolism	GO:0019632
shikimate catabolism	GO:0019633
phosphonate metabolism	GO:0019634
2-aminoethylphosphonate catabolism	GO:0019635
phosphonoacetate metabolism	GO:0019636
organophosphate metabolism	GO:0019637
6-hydroxycineole metabolism	GO:0019638
6-hydroxycineole catabolism	GO:0019639
glucuronate catabolism to xylulose-5-phosphate	GO:0019640
Embden-Meyerhof pathway	GO:0019641
anaerobic glycolysis	GO:0019642
reductive tricarboxylic acid cycle	GO:0019643
reductive citric acid pathway	GO:0019644
anaerobic electron transport	GO:0019645
aerobic electron transport	GO:0019646
formaldehyde assimilation via ribulose-monophosphate cycle	GO:0019647
formaldehyde assimilation via xylulose-monophosphate cycle	GO:0019648
formaldehyde assimilation	GO:0019649
butanediol fermentation	GO:0019650
diacetyl fermentation	GO:0019651
propionate fermentation	GO:0019652
purine fermentation	GO:0019653
acetate fermentation	GO:0019654
ethanol fermentation	GO:0019655
heterolactate fermentation	GO:0019656
succinate-propionate fermentation	GO:0019657
glucose fermentation to lactate and acetate	GO:0019658
lactate fermentation	GO:0019659
glycolytic fermentation	GO:0019660
homolactate fermentation	GO:0019661
non-glycolytic fermentation	GO:0019662
homoacetate fermentation	GO:0019663
mixed acid fermentation	GO:0019664
amino acid fermentation	GO:0019665
nitrogenous compound fermentation	GO:0019666
alanine fermentation	GO:0019667
cofermentation of pairs of amino acids	GO:0019668
glycine fermentation	GO:0019669
