(S)-2-hydroxy-acid oxidase	SF000138
mouse retinoic acid-regulated protein pH 34	SF008152
mouse ror-related receptor	SF015476
mouse testosterone-regulated RP2 protein	SF009450
mouse transcription factor PU.1	SF019667
mouse transcription factor tbx2	SF002061
mov-34 protein	SF002650
multicatalytic endopeptidase complex chain C5	SF001214
multicatalytic endopeptidase complex chain C9	SF001212
multicatalytic endopeptidase complex chain N3	SF001213
multidrug resistance protein	SF002773
myb transforming protein	SF001671
myc transforming protein	SF001705
myelin P0 protein	SF002389
myelin P2 protein	SF002390
myelin basic protein	SF002388
myelin proteolipid protein	SF002387
myelin-associated glycoprotein	SF001978
myeloperoxidase	SF000299
myosin MYO2	SF002330
myosin heavy chain	SF002328
myosin heavy chain 95F	SF002331
naphthoate synthase	SF001406
natriuretic peptide A precursor	SF001803
natriuretic peptide C precursor	SF001804
natriuretic peptide receptor C	SF001970
natural killer cell receptor P1	SF005558
natural resistance-associated macrophage protein 1	SF005717
neprilysin	SF001194
nerve growth factor beta chain	SF001789
nerve growth factor receptor	SF001964
nerve growth factor receptor, high affinity	SF000623
neural cell adhesion molecule	SF002507
neural cell adhesion molecule L1	SF002508
neurexin III-alpha	SF036344
neuroendocrine protein 7B2	SF001813
neurofilament triplet H protein	SF002283
neurogenic protein delta	SF036332
neurokinin 1 receptor	SF001840
neurokinin B precursor	SF001843
neurotensin	SF001800
neurotrophic receptor ror	SF000624
neutrophil cytosol factor 1	SF001631
nicotinate-nucleotide pyrophosphorylase (carboxylating)	SF006250
nidogen	SF002274
ninaC protein	SF002335
nitric-oxide synthase	SF000333
nonhistone chromosomal protein HMG-17	SF002053
nonhistone chromosomal protein HMG-2	SF002054
nonhistone chromosomal protein HMG-I	SF002062
nonspecific cross-reacting antigen	SF002012
notch protein	SF002279
nuclear respiratory factor-2 beta-1 chain	SF036345
nuclear steroid/thyroid hormone receptor beta protein FTZ-F1beta	SF002531
nucleolin	SF002100
nucleolus-cytoplasm shuttle phosphoprotein	SF005568
nucleophosmin	SF002110
nucleoporin Nup358	SF005104
nucleoside triphosphatase chromatin-associated	SF005696
nucleoside-diphosphate kinase	SF000735
nucleotide pyrophosphatase	SF001268
occludin	SF005993
octopamine receptor type I	SF005474
oleoyl-[acyl-carrier-protein] hydrolase	SF000881
olfactory marker protein	SF009402
olfactory receptor OR14	SF003152
oligo(A) synthetase	SF001607
optic lobe development omb protein	SF002057
ornithine carbamoyltransferase	SF000416
ornithine decarboxylase	SF001335
ornithine-oxo-acid aminotransferase	SF000519
orphan receptor TR2	SF002526
osteocalcin	SF002577
osteoinductive factor precursor	SF005436
osteonectin	SF002576
osteopontin	SF002578
oxoglutarate dehydrogenase (lipoamide)	SF000157
oxysterol-binding protein	SF036315
oxytocin receptor	SF001841
oxytocin-neurophysin	SF001815
paired box segmentation protein prd	SF001731
paired box transcription factor BSH9	SF001727
paired box transcription factor Pax-3	SF001725
paired box transcription factor Pax-4	SF001729
paired box transcription factor Pax-6	SF001728
paired box transcription factor Pax-8	SF001730
pancreatic hormone	SF001845
pancreatic ribonuclease	SF001015
pancreatic secretory trypsin inhibitor	SF001626
papain	SF001182
paranodin	SF036358
parathyroid hormone	SF001832
parathyroid hormone-related protein	SF001833
parotid secretory protein	SF002570
parvalbumin	SF002352
pendulin	SF005673
pepsin	SF001187
peptide transport protein PEPT1	SF005467
peptide-aspartate beta-dioxygenase	SF000324
peptidylglycine monooxygenase II	SF000339
peptidylprolyl isomerase	SF001467
peptidylprolyl isomerase CyP-40	SF005398
peptidylprolyl isomerase CyP-60	SF005106
period clock protein	SF002605
peripheral-type benzodiazepine receptor	SF005859
peroxisome assembly factor-1	SF009391
phage T4 DNA polymerase accessory protein 44	SF004274
phenylalanine 4-monooxygenase	SF000336
phenylethanolamine N-methyltransferase	SF000384
pheromone receptor VN3t	SF005744
pheromone response pathway component SRM1	SF003351
phosducin	SF002405
phosphatidyl-N-methylethanolamine N-methyltransferase	SF005444
phosphatidylcholine-sterol acyltransferase	SF000449
phosphatidylcholine-transfer protein	SF002453
phosphatidylinositol 3-kinase	SF000586
phosphoenolpyruvate carboxykinase (GTP)	SF001348
phosphoglucomutase	SF001493
phosphogluconate dehydrogenase (decarboxylating)	SF000109
phosphoglycerate kinase	SF000724
phosphoglycerate mutase	SF001490
phospholamban	SF001665
phospholipase A2	SF000866
phospholipase A2 receptor	SF002427
phosphoprotein phosphatase	SF000908
phosphoprotein phosphatase 65K regulatory chain	SF005602
phosphoprotein phosphatase rdgC	SF000912
phosphoribosylformylglycinamidine synthase	SF001588
phosphorylase	SF000460
phytoene dehydrogenase	SF005674
pituitary glycoprotein hormone beta chain	SF001824
plasma hyaluronan-binding protein	SF001148
plasma protein S	SF001776
plasmin	SF001150
plasminogen-related protein	SF002483
plastin	SF002302
platelet glycoprotein Ib alpha chain	SF002493
platelet glycoprotein Ib beta chain	SF002494
platelet-derived growth factor	SF001774
pleckstrin	SF001736
plectin	SF002662
pleiotrophin	SF001949
pointed protein, splice form 1	SF001701
pointed protein, splice form 2	SF001702
pol polyprotein	SF003836
poliovirus receptor	SF002016
polyadenylate-binding protein	SF002074
polycomb protein	SF001325
polymorphic epithelial mucin	SF002580
polypeptide N-acetylgalactosaminyltransferase	SF005670
polyubiquitin 10	SF002037
polyubiquitin 3	SF002042
polyubiquitin 4	SF002038
polyubiquitin 9	SF002043
porin	SF002839
porphobilinogen synthase	SF001415
posterior-group protein tudor	SF005248
potassium channel protein drk1	SF002449
pre-B cell enhancing factor	SF005943
pre-B cell omega light chain	SF001989
pre-T-cell receptor alpha chain	SF001975
preadipocyte factor 1	SF036318
presenilin	SF005702
probable hormone receptor N10, nuclear	SF002524
probable human DNA repair protein XRCC9	SF015159
probable membrane receptor protein pHS1-2	SF005212
procollagen C-endopeptidase	SF001199
procollagen-proline,2-oxoglutarate 4-dioxygenase alpha chain	SF000320
proenkephalin	SF001819
profilin	SF002342
progesterone receptor	SF002528
prolactin	SF001825
proliferating cell nuclear antigen	SF002090
proline carrier protein	SF002803
proline-rich peptide P-B	SF002569
proline-rich protein	SF002568
proline-tRNA ligase proS	SF006101
prolyl oligopeptidase	SF001133
propionyl-CoA carboxylase alpha chain	SF001592
propionyl-CoA carboxylase beta chain	SF001593
prostacyclin-stimulating factor	SF018239
prostaglandin E receptor EP1	SF001962
prostasin	SF001136
proteasome activator PA28 alpha chain	SF005469
protein HC	SF001622
protein disulfide-isomerase	SF001487
protein kinase A-raf	SF000555
protein kinase C alpha	SF000550
protein kinase C delta	SF000551
protein kinase C mu	SF000552
protein kinase C zeta	SF000554
protein kinase TIK	SF000591
protein kinase akt	SF000613
protein phosphatase inhibitor 1	SF001666
protein translocation complex Sec61 beta chain	SF006398
protein-arginine deiminase	SF001247
protein-glutamine gamma-glutamyltransferase	SF000459
protein-lysine 6-oxidase	SF000191
protein-tyrosine kinase ZAP-70	SF000604
protein-tyrosine kinase axl	SF000629
protein-tyrosine kinase fps	SF000632
protein-tyrosine kinase ret	SF000631
protein-tyrosine kinase src	SF000601
protein-tyrosine kinase tec	SF000602
protein-tyrosine kinase tyk2	SF000636
protein-tyrosine kinase, receptor type eph	SF000666
protein-tyrosine kinase, receptor type tie	SF000630
protein-tyrosine-phosphatase string	SF000919
protein-tyrosine-phosphatase, low molecular weight	SF000916
protein-tyrosine-phosphatase, nonreceptor type 1	SF000926
protein-tyrosine-phosphatase, nonreceptor type 12	SF000932
protein-tyrosine-phosphatase, nonreceptor type 13	SF000933
protein-tyrosine-phosphatase, nonreceptor type 14	SF000934
protein-tyrosine-phosphatase, nonreceptor type 3	SF000927
protein-tyrosine-phosphatase, nonreceptor type 5	SF000928
protein-tyrosine-phosphatase, nonreceptor type 6	SF000929
protein-tyrosine-phosphatase, nonreceptor type 8	SF000930
protein-tyrosine-phosphatase, nonreceptor type 9	SF000931
protein-tyrosine-phosphatase, nonreceptor type PTP61F	SF000935
protein-tyrosine-phosphatase, receptor type 99A	SF002001
protein-tyrosine-phosphatase, receptor type H	SF001998
protein-tyrosine-phosphatase, receptor type J	SF001999
protein-tyrosine-phosphatase, receptor type N	SF001996
protein-tyrosine-phosphatase, receptor type O	SF002009
protein-tyrosine-phosphatase, receptor type PTP69D	SF002003
protein-tyrosine-phosphatase, receptor type PTPBR7	SF001997
protein-tyrosine-phosphatase, receptor type alpha	SF002006
protein-tyrosine-phosphatase, receptor type beta	SF002007
protein-tyrosine-phosphatase, receptor type gamma	SF002011
protein-tyrosine-phosphatase, receptor type mu	SF002008
protein-tyrosine-phosphatase, receptor type zeta	SF002010
proteoglycan 10K core protein	SF002267
proteoglycan link protein	SF002268
prothymosin alpha	SF001827
protozoan myosin heavy chain IB	SF002333
pulmonary surfactant protein B	SF002430
pulmonary surfactant protein C	SF002432
pulmonary surfactant protein D	SF002429
purH bifunctional enzyme	SF000414
purine synthesis multifunctional protein	SF001583
purine-nucleoside phosphorylase	SF000477
pyrimidine nucleoside transport protein nupC	SF006153
pyrroline-5-carboxylate reductase	SF000193
pyruvate carboxylase	SF001594
pyruvate dehydrogenase (lipoamide) alpha chain	SF000152
pyruvate dehydrogenase (lipoamide) beta chain	SF000155
pyruvate kinase	SF000678
ras transforming protein	SF001710
rat HMG-box containing protein 1	SF002621
rat LIM protein	SF018094
rat MEGF1 protein	SF010351
rat Munc13-3 protein	SF017828
rat Sertoli cell leucine-rich protein 1	SF008155
rat acidic ribosomal protein P0	SF002168
rat acidic ribosomal protein P1	SF002170
rat androgen-withdrawal apoptosis protein RVP1	SF011877
rat bumetanide-sensitive Na+/K+/Cl-cotransport protein	SF015575
rat cca1 protein	SF011878
rat cytosolic adenylate cyclase	SF011131
rat fatty-acid synthase	SF000453
rat glycerol-3-phosphate dehydrogenase	SF036297
rat growth factor arg3.1	SF011879
rat latexin	SF011132
rat myosin heavy chain	SF031656
rat neuritin	SF008892
rat nuclear pore protein gp210	SF008156
rat phospholipase D	SF009376
rat prolactin-induced T cell protein c15	SF002076
rat protein kinase raf	SF000558
rat ribosomal protein L10	SF005590
rat ribosomal protein L12	SF002180
rat ribosomal protein L13	SF002221
rat ribosomal protein L14	SF015757
rat ribosomal protein L15	SF002222
rat ribosomal protein L17	SF002196
rat ribosomal protein L18	SF002183
rat ribosomal protein L18a	SF002190
rat ribosomal protein L19	SF002192
rat ribosomal protein L21	SF002194
rat ribosomal protein L22	SF002223
rat ribosomal protein L24	SF002175
rat ribosomal protein L26	SF002204
rat ribosomal protein L27	SF002205
rat ribosomal protein L27a	SF002174
rat ribosomal protein L28	SF002208
rat ribosomal protein L29	SF002240
rat ribosomal protein L3	SF002160
rat ribosomal protein L30	SF002218
rat ribosomal protein L31	SF002212
rat ribosomal protein L32	SF002217
rat ribosomal protein L34	SF002233
rat ribosomal protein L35	SF002235
rat ribosomal protein L35a	SF002219
rat ribosomal protein L36	SF002220
rat ribosomal protein L36a	SF002173
rat ribosomal protein L37	SF002171
rat ribosomal protein L37a	SF002238
rat ribosomal protein L38	SF002239
rat ribosomal protein L39	SF002172
rat ribosomal protein L4	SF002156
rat ribosomal protein L41	SF002244
rat ribosomal protein L5	SF002169
rat ribosomal protein L7	SF002166
rat ribosomal protein L7a	SF002165
rat ribosomal protein S10	SF002130
rat ribosomal protein S12	SF002132
rat ribosomal protein S13	SF002136
rat ribosomal protein S17	SF002177
rat ribosomal protein S19	SF002143
rat ribosomal protein S21	SF002148
rat ribosomal protein S24	SF002145
rat ribosomal protein S25	SF002150
rat ribosomal protein S26	SF002153
rat ribosomal protein S27	SF002154
rat ribosomal protein S3	SF002112
rat ribosomal protein S3a	SF002224
rat ribosomal protein S4	SF002116
rat ribosomal protein S6	SF002129
rat ribosomal protein S7	SF002123
rat ribosomal protein S8	SF002125
rat ribosomal protein S9	SF002118
rat synaptonemal complex protein SC56	SF011883
rat ubiquitin-protein ligase	SF001569
receptor-induced toxicity mediator MORT1	SF018586
rel transforming protein	SF001715
replication licensing factor MCM2	SF001754
replication licensing factor MCM4	SF001757
replication licensing factor MCM5	SF001758
replication licensing factor MCM7	SF001760
replication protein A1	SF002091
restrictin	SF002501
reticulocalbin	SF036326
retinal degeneration slow protein	SF002418
retinoblastoma-associated protein	SF002392
retinoic acid receptor alpha	SF002534
retinol dehydrogenase	SF006067
retroviral proteinase	SF001219
retrovirus-related polyprotein	SF003834
rfp transforming protein	SF001733
rhodopsin kinase	SF000584
ribitol dehydrogenase	SF000092
ribokinase	SF000536
ribonuclease L inhibitor	SF005143
ribonuclease inhibitor	SF001661
ribonucleoprotein La	SF002105
ribose-phosphate pyrophosphokinase catalytic chain	SF000738
ribosomal protein S6 kinase	SF000605
ribosomal protein S6 kinase II	SF000606
rudimentary enzyme	SF001379
ryanodine receptor	SF002435
saimiri herpesvirus immediate-early protein 2	SF003430
salivary glue protein	SF002655
sapecin precursor	SF001874
saposin	SF002431
sarcosine oxidase	SF006010
secretogranin II	SF005255
secretory component	SF001976
secretory protein xP1	SF001853
selenoprotein P	SF002516
semaphorin	SF005526
semenogelin	SF002539
seminal plasma protein	SF002542
seminal vesicle secretory protein	SF002540
senescence marker protein-30	SF004716
serine C-palmitoyltransferase chain LCB2	SF005835
serine carboxypeptidase	SF001127
serine proteinase easter	SF001157
serine proteinase snake	SF001156
serine proteinease stubble-stubbloid	SF001140
serine-pyruvate aminotransferase	SF000524
serine-tRNA ligase	SF001529
serum albumin	SF002520
sevenless	SF000637
severin	SF002348
sex steroid-binding protein	SF002538
sigma cross-reacting protein 27A	SF006320
signal peptidase SEC11	SF001209
signal recognition particle 54K protein	SF002107
signal transduction protein DJ-1	SF004828
signaling mediator	SF028772
single-stranded DNA-binding protein	SF002070
skelemin	SF005534
ski transforming protein	SF001709
small nuclear ribonucleoprotein SPAC2C4.03c	SF015770
small nuclear ribonucleoprotein U1A	SF002084
smooth muscle protein SM22	SF002345
sodium channel protein	SF002448
sodium/sulfate cotransporter	SF005833
sol protein	SF002523
soluble guanylate cyclase	SF001450
somatostatin	SF001814
sonic hedgehog protein	SF009400
sorcin	SF036325
spasmolytic protein	SF001852
spectrin alpha chain	SF002295
spectrin beta chain	SF002296
spectrin beta-G chain	SF002297
sperm histone	SF002067
sperm-binding glycoprotein ZP2	SF002555
sperm-binding glycoprotein ZP3	SF002553
sperm-binding glycoprotein ZP3-alpha	SF002554
spermadhesin	SF005533
spermatid transition protein 1	SF002065
spermatid transition protein 2	SF002066
spermidine synthase	SF000502
sphingosine-1-phosphate lyase	SF006745
statherin precursor	SF002565
stathmin	SF002285
steroid hormone receptor Ad4BP	SF002530
sterol O-acyltransferase	SF000439
sterol regulatory element binding protein	SF005456
submandibular gland 14K protein	SF002572
submandibular gland 16.5K protein	SF002571
substance P precursor	SF001839
subtilisin-like proteinase PACE4	SF001181
succinate-CoA ligase (ADP-forming) alpha chain	SF001553
succinate-CoA ligase (ADP-forming) beta chain	SF001554
succinyl-diaminopimelate desuccinylase	SF006038
sucrase/isomaltase	SF001090
sulfate transport protein	SF005448
sulfite oxidase	SF000257
superoxide dismutase (Cu-Zn)	SF000348
superoxide dismutase (Mn)	SF000349
suppressor 2 protein	SF003011
suppressor protein suhB	SF004949
synaptic vesicle amine transporter	SF005339
synaptic vesicle protein SV2	SF002806
synaptobrevin	SF005409
synaptophysin	SF005523
synaptotagmin	SF002385
syntaxin	SF005486
system b(0,+) amino acid transporter-involved protein	SF001027
tartrate-resistant acid phosphatase	SF000898
tau-protein kinase II 23K chain	SF009324
tenascin	SF002502
tenascin-X	SF002500
tetranectin	SF002422
thimet oligopeptidase	SF001195
thioredoxin	SF000077
thiosulfate sulfurtransferase	SF000855
threonine dehydratase	SF001405
threonine-tRNA ligase	SF001520
thrombin	SF001149
thrombomodulin	SF001775
thrombospondin 1	SF002478
thrombospondin 3	SF002479
thymidine kinase	SF000540
thymidylate synthase	SF000387
thymosin beta	SF001828
thyroglobulin	SF001831
thyroid autoantigen	SF003033
thyroid hormone receptor	SF002533
thyroid peroxidase	SF000300
thyroliberin precursor	SF001795
tissue factor	SF002498
tissue factor pathway inhibitor	SF001620
tissue plasminogen activator	SF001145
titin	SF000597
tomato heat shock transcription factor HSF8	SF002591
transcription coactivator CREB-binding protein	SF036333
transcription enhancer factor TEF1	SF002603
transcription factor AP-2	SF005097
transcription factor Brn-1	SF002629
transcription factor Brn-5	SF002630
transcription factor CBF alpha 2	SF009374
transcription factor DP	SF009404
transcription factor ER81	SF001700
transcription factor GATA-1	SF003026
transcription factor GATA-2	SF003027
transcription factor GATA-4	SF003028
transcription factor GCN5	SF003049
transcription factor HAP3	SF003040
transcription factor HNF-1	SF001724
transcription factor HNF-3	SF001732
transcription factor IIIA	SF003034
transcription factor Krueppel	SF003039
transcription factor Oct-1	SF002625
transcription factor Oct-2	SF002627
transcription factor Oct-3	SF002628
transcription factor Pit-1	SF002637
transcription factor dGATAc	SF003029
transcription factor elg	SF001703
transcription factor erg	SF001699
transcription factor ets	SF001698
transcription factor inhibitor ECI-6	SF036322
transcription factor isl-1	SF002642
transcription initiation factor IIB	SF003050
transcription initiation factor IID	SF003046
transcription initiation factor IID 250K chain	SF003047
transcription initiation factor IID beta chain	SF005769
transcription initiation factor IIIB 90K chain	SF003053
transcription repressor Id-2	SF005808
transferrin	SF002549
transferrin receptor	SF002548
transformation upregulated nuclear protein HNRPK	SF016073
transformer-2 sex-determining protein	SF002092
transforming growth factor alpha precursor	SF001779
transforming growth factor beta receptor type III	SF002558
transitional endoplasmic reticulum ATPase	SF001172
transketolase	SF000418
translation elongation factor 2	SF003018
translation elongation factor EF-Ts	SF003014
translation elongation factor G	SF003013
translation elongation factor Tu	SF003007
translation elongation factor eEF-1 beta chain	SF003015
translation elongation factor eEF-1 gamma chain	SF003016
translation initiation factor IF-2	SF003012
translation initiation factor SUI	SF004499
translation initiation factor eIF-2 alpha chain	SF003020
translation initiation factor eIF-2 gamma chain	SF003021
translation initiation factor eIF-2B	SF005737
translation initiation factor eIF-4A	SF003023
translation initiation factor eIF-4E	SF003024
translation initiation factor eIF-5A	SF003025
translation regulator GCD2	SF003327
translation releasing factor eRF-1	SF003055
translocating chain-associating membrane protein	SF005449
transthyretin	SF002519
triacylglycerol lipase	SF000865
triacylglycerol lipase, lingual	SF000862
trichohyalin	SF002254
triose-phosphate isomerase	SF001477
tropinesterase	SF000873
tropomodulin	SF002326
tropomyosin	SF002327
troponin I	SF002364
troponin T	SF002363
trypsin	SF001135
tubulin	SF002306
tumor associated protein MAGE	SF005491
tumor necrosis factor	SF001873
tumor necrosis factor receptor type 1	SF001965
tumor necrosis factor receptor type 2	SF001968
type I dihydrofolate reductase	SF000194
ubiquinol-cytochrome-c reductase 11K protein	SF000019
ubiquinol-cytochrome-c reductase 14K protein	SF000022
ubiquitin	SF002034
ubiquitin / rat ribosomal protein S27a	SF002046
ubiquitin-activating enzyme E1	SF001564
ubiquitin/ribosomal protein CEP52	SF002044
ultra-high-sulfur keratin	SF005569
unassigned ATP-binding cassette proteins	SF015210
unassigned EGF-related proteins	SF015217
unassigned HMG box proteins	SF015221
unassigned Ser/Thr or Tyr-specific protein kinases	SF015229
unassigned WD repeat proteins	SF005190
unassigned ankyrin repeat proteins	SF015209
unassigned bromodomain proteins	SF015211
unassigned calmodulin-related proteins	SF015212
unassigned collagens	SF015213
unassigned disintegrins	SF015216
unassigned erbA-related proteins	SF015218
unassigned ferredoxin 2[4Fe-4S]-related proteins	SF006762
unassigned fork head proteins	SF015219
unassigned homeobox proteins	SF015223
unassigned kinesin-related proteins	SF015224
unassigned mutT domain proteins	SF005192
unassigned myb DNA-binding repeat proteins	SF005193
unassigned ribonucleoprotein repeat-containing proteins	SF015228
unassigned tetratricopeptide repeat proteins	SF015230
unassigned ubiquitin-related proteins	SF015231
uracil-DNA glycosylase	SF001108
urate oxidase	SF000241
urokinase-type plasminogen activator	SF001144
urokinase-type plasminogen activator receptor	SF002022
uromodulin	SF002556
uroplakin	SF005764
uroporphyrinogen decarboxylase	SF001349
uteroglobin	SF002537
vaccinia virus B15R protein	SF003786
vacuolar ATP synthase 95K chain	SF001293
vacuolar H+-transporting ATPase 16K chain	SF001292
vacuolar H+-transporting ATPase 69K chain	SF001291
vacuolar protein sorting protein VPS45	SF005715
valine-tRNA ligase	SF001527
vav transforming protein	SF001739
versican	SF002269
vertebrate rhodopsin	SF002406
vigilin	SF005247
villin	SF002347
voltage-dependent calcium channel protein alpha-1 chain	SF005657
von Willebrand factor	SF002495
xanthine dehydrogenase	SF000127
xanthine permease pbuX	SF005349
xylulokinase	SF000538
yeast CAT5 protein	SF005314
yeast DNA repair protein RAD51	SF005856
yeast ERV1 protein	SF005793
yeast ESS1 protein	SF005805
yeast SMT3 protein	SF005358
yeast SNP2 protein	SF006609
yeast TOR2 protein	SF000721
yeast coatomer complex alpha chain	SF003354
yeast cytosolic phenylalanine-tRNA ligase beta chain	SF001548
yeast deoxyhypusine synthase	SF006637
yeast glycylpeptide N-tetradecanoyltransferase	SF015892
yeast isocitrate dehydrogenase (NADP+)	SF000108
yeast lanosterol synthase	SF005504
yeast mannose-6-phosphate isomerase	SF005583
yeast myo-inositol-1-phosphate synthase	SF015578
yeast nuclear transport factor NTF2	SF005429
yeast peptidylprolyl isomerase FPR3	SF001473
yeast polydeoxyribonucleotide synthase (ATP)	SF001599
yeast probable SKI2 protein YJL050w	SF005198
yeast probable purine nucleotide-binding protein YBR025c	SF006641
yeast replication licensing factor MCM6	SF001759
yeast ribosomal protein S1.e	SF002225
yeast ubiquitin-protein ligase UBC1	SF001566
yellowjacket venom allergen antigen 5	SF010371
yes-associated protein	SF018559
zebra fish transciption factor POU-C	SF002631
zebra fish transcription factor POU-2	SF002635
zinc finger protein KF-1 precursor	SF018522
zinc finger protein ZFP-36	SF005559
zinc transporter ZnT-2	SF004685
zip protein	SF002452
