ribosomal chaperone activity	GO:0000005
dihydropyridine-sensitive calcium channel activity	GO:0015270
outward rectifier potassium channel activity	GO:0015271
ATP-activated inward rectifier potassium channel activity	GO:0015272
G-protein enhanced inward rectifier potassium channel activity	GO:0015273
organellar voltage-gated chloride channel activity	GO:0015274
stretch-activated\, cation-selective\, calcium channel activity	GO:0015275
ligand-gated ion channel activity	GO:0015276
kainate selective glutamate receptor activity	GO:0015277
calcium-release channel activity	GO:0015278
store-operated calcium channel activity	GO:0015279
amiloride-sensitive sodium channel activity	GO:0015280
nonselective cation channel activity	GO:0015281
NADPH oxidase-associated cytochrome b558 hydrogen channel activity	GO:0015282
apoptogenic cytochrome c release channel activity	GO:0015283
fructose uniporter activity	GO:0015284
connexon channel activity	GO:0015285
innexin channel activity	GO:0015286
porin activity	GO:0015288
electrochemical potential-driven transporter activity	GO:0015290
porter activity	GO:0015291
uniporter activity	GO:0015292
symporter activity	GO:0015293
solute\:cation symporter activity	GO:0015294
solute\:hydrogen symporter activity	GO:0015295
anion\:cation symporter activity	GO:0015296
antiporter activity	GO:0015297
solute\:cation antiporter activity	GO:0015298
solute\:hydrogen antiporter activity	GO:0015299
solute\:solute antiporter activity	GO:0015300
anion\:anion antiporter activity	GO:0015301
uncoupling protein activity	GO:0015302
galactose\, glucose uniporter activity	GO:0015303
glucose uniporter activity	GO:0015304
lactose\, galactose\:hydrogen symporter activity	GO:0015305
sialate transporter activity	GO:0015306
drug\:hydrogen antiporter activity	GO:0015307
amiloride\:hydrogen antiporter activity	GO:0015308
cycloheximide\:hydrogen antiporter activity	GO:0015309
benomyl\:hydrogen antiporter activity	GO:0015310
monoamine\:hydrogen antiporter activity	GO:0015311
polyamine\:hydrogen antiporter activity	GO:0015312
fluconazole\:hydrogen antiporter activity	GO:0015313
aminotriazole\:hydrogen antiporter activity	GO:0015314
organophosphate\:inorganic phosphate antiporter activity	GO:0015315
nitrite/nitrate porter activity	GO:0015316
phosphate\:hydrogen symporter activity	GO:0015317
inorganic uptake permease activity	GO:0015318
sodium\:inorganic phosphate symporter activity	GO:0015319
phosphate carrier activity	GO:0015320
sodium-dependent phosphate transporter activity	GO:0015321
oligopeptide porter activity	GO:0015322
type V protein secretor activity	GO:0015323
peptide-acetyl-CoA transporter activity	GO:0015324
acetyl-CoA\:CoA antiporter activity	GO:0015325
cationic amino acid transporter activity	GO:0015326
cystine/glutamate antiporter activity	GO:0015327
cystine porter activity	GO:0015328
gamma-aminobutyric acid permease activity	GO:0015329
high affinity glutamine permease activity	GO:0015330
asparagine/glutamine permease activity	GO:0015331
leucine/valine/isoleucine permease activity	GO:0015332
peptide\:hydrogen symporter activity	GO:0015333
high affinity oligopeptide transporter activity	GO:0015334
cation diffusion facilitator activity	GO:0015338
cobalt\, zinc uptake permease activity	GO:0015339
zinc\, cadmium uptake permease activity	GO:0015340
zinc efflux permease activity	GO:0015341
zinc\, iron permease activity	GO:0015342
siderochrome-iron transporter activity	GO:0015343
siderochrome-iron (ferrioxamine) uptake transporter activity	GO:0015344
ferric enterobactin\:hydrogen symporter activity	GO:0015345
ferric triacetylfusarinine C\:hydrogen symporter activity	GO:0015346
sodium-independent organic anion transporter activity	GO:0015347
prostaglandin/thromboxane transporter activity	GO:0015348
thyroid hormone transporter activity	GO:0015349
methotrexate transporter activity	GO:0015350
bilirubin porter activity	GO:0015351
sterol porter activity	GO:0015352
multidrug endosomal transporter activity	GO:0015353
polyspecific organic cation transporter activity	GO:0015354
monocarboxylate porter activity	GO:0015355
monocarboxylate (lactate\, pyruvate\, mevalonate) uptake/efflux porter activity	GO:0015356
amino acid/choline transporter activity	GO:0015358
amino acid permease activity	GO:0015359
acetate\:hydrogen symporter activity	GO:0015360
low affinity sodium\:dicarboxylate symporter activity	GO:0015361
high affinity sodium\:dicarboxylate symporter activity	GO:0015362
dicarboxylate (succinate/fumarate/malate) antiporter activity	GO:0015363
dicarboxylate\:inorganic phosphate antiporter activity	GO:0015364
dicarboxylic acid permease activity	GO:0015365
malate\:hydrogen symporter activity	GO:0015366
oxoglutarate/malate antiporter activity	GO:0015367
calcium\:cation antiporter activity	GO:0015368
calcium\:hydrogen antiporter activity	GO:0015369
solute\:sodium symporter activity	GO:0015370
galactose\:sodium symporter activity	GO:0015371
glutamate/aspartate\:sodium symporter activity	GO:0015372
monovalent anion\:sodium symporter activity	GO:0015373
neutral\, cationic amino acid\:sodium\:chloride symporter activity	GO:0015374
glycine\:sodium symporter activity	GO:0015375
betaine/GABA\:sodium symporter activity	GO:0015376
cation\:chloride symporter activity	GO:0015377
sodium\:chloride symporter activity	GO:0015378
potassium\:chloride symporter activity	GO:0015379
anion exchanger activity	GO:0015380
high affinity sulfate permease activity	GO:0015381
sodium\:sulfate symporter activity	GO:0015382
sulfate\:bicarbonate antiporter activity	GO:0015383
sodium\:hydrogen antiporter activity	GO:0015385
potassium\:hydrogen antiporter activity	GO:0015386
potassium\:hydrogen symporter activity	GO:0015387
potassium uptake permease activity	GO:0015388
pyrimidine- and adenine-specific\:sodium symporter activity	GO:0015389
purine-specific nucleoside\:sodium symporter activity	GO:0015390
nucleobase\:cation symporter activity	GO:0015391
cytosine-purine permease activity	GO:0015392
uracil/uridine permease activity	GO:0015393
nucleoside (uridine) permease activity	GO:0015394
equilibrative nucleoside transporter activity	GO:0015395
equilibrative nucleoside transporter\, nitrobenzyl-thioinosine-sensitive activity	GO:0015396
equilibrative nucleoside transporter\, nitrobenzyl-thioinosine-insensitive activity	GO:0015397
high affinity ammonium transporter activity	GO:0015398
primary active transporter activity	GO:0015399
low affinity ammonium transporter activity	GO:0015400
urea active transporter activity	GO:0015401
thiamin permease activity	GO:0015402
thiamin uptake transporter activity	GO:0015403
ion-gradient-driven energizer activity	GO:0015404
P-P-bond-hydrolysis-driven transporter activity	GO:0015405
ABC-type uptake permease activity	GO:0015406
monosaccharide-transporting ATPase activity	GO:0015407
ferric-transporting ATPase activity	GO:0015408
manganese-transporting ATPase activity	GO:0015410
taurine-transporting ATPase activity	GO:0015411
molybdate-transporting ATPase activity	GO:0015412
nickel-transporting ATPase activity	GO:0015413
nitrate-transporting ATPase activity	GO:0015414
phosphate-transporting ATPase activity	GO:0015415
phosphonate-transporting ATPase activity	GO:0015416
polyamine-transporting ATPase activity	GO:0015417
quaternary-amine-transporting ATPase activity	GO:0015418
sulfate/thiosulfate porter activity	GO:0015419
vitamin B12-transporting ATPase activity	GO:0015420
oligopeptide-transporting ATPase activity	GO:0015421
oligosaccharide-transporting ATPase activity	GO:0015422
maltose-transporting ATPase activity	GO:0015423
amino acid-transporting ATPase activity	GO:0015424
nonpolar-amino acid-transporting ATPase activity	GO:0015425
polar-amino-acid-transporting ATPase activity	GO:0015426
ABC-type efflux porter activity	GO:0015427
type I protein secretor activity	GO:0015428
glycerol-3-phosphate-transporting ATPase activity	GO:0015430
conjugate transporter activity	GO:0015431
bile acid porter activity	GO:0015432
peptide antigen transporter activity	GO:0015433
cadmium-transporting ATPase activity	GO:0015434
ABC-type efflux permease activity	GO:0015435
capsular-polysaccharide-transporting ATPase activity	GO:0015436
lipopolysaccharide-transporting ATPase activity	GO:0015437
teichoic acid-transporting ATPase activity	GO:0015438
heme-transporting ATPase activity	GO:0015439
peptide-transporting ATPase activity	GO:0015440
beta-glucan-transporting ATPase activity	GO:0015441
magnesium-importing ATPase activity	GO:0015444
silver-exporting ATPase activity	GO:0015445
arsenite-transporting ATPase activity	GO:0015446
type II protein secretor activity	GO:0015447
type III protein (virulence-related) secretor activity	GO:0015448
type IV protein (DNA-protein) secretor activity	GO:0015449
protein translocase activity	GO:0015450
decarboxylation-driven active transporter activity	GO:0015451
methyl transfer-driven active transporter activity	GO:0015452
oxidoreduction-driven active transporter activity	GO:0015453
light-driven active transporter activity	GO:0015454
group translocator activity	GO:0015455
auxiliary transport protein activity	GO:0015457
low voltage-dependent potassium channel auxiliary protein activity	GO:0015458
potassium channel regulator activity	GO:0015459
transport accessory protein activity	GO:0015460
protein-transporting ATPase activity	GO:0015462
acetylcholine receptor activity	GO:0015464
G-protein activated inward rectifier potassium channel activity	GO:0015467
nucleoside-specific channel forming porin activity	GO:0015471
fimbrium-specific chaperone activity	GO:0015472
fimbrial usher porin activity	GO:0015473
autotransporter activity	GO:0015474
adhesin autotransporter activity	GO:0015475
hemaglutinin autotransporter activity	GO:0015476
receptor porin activity	GO:0015477
oligosaccharide transporting porin activity	GO:0015478
maltose transporting porin activity	GO:0015481
voltage-dependent anion channel porin activity	GO:0015482
long-chain fatty acid transporting porin activity	GO:0015483
cholesterol binding	GO:0015485
glycoside-pentoside-hexuronide\:cation symporter activity	GO:0015486
melibiose permease activity	GO:0015487
glucuronide permease activity	GO:0015488
putrescine transporter activity	GO:0015489
cadaverine transporter activity	GO:0015490
cation\:cation antiporter activity	GO:0015491
phenylalanine\:hydrogen symporter activity	GO:0015492
lysine\:hydrogen symporter activity	GO:0015493
aromatic amino acid\:hydrogen symporter activity	GO:0015494
gamma-aminobutyric acid\:hydrogen symporter activity	GO:0015495
putrescine\:ornithine antiporter activity	GO:0015496
cadaverine\:lysine antiporter activity	GO:0015497
pantothenate\:sodium symporter activity	GO:0015498
formate transporter activity	GO:0015499
threonine/serine\:sodium symporter activity	GO:0015500
glutamate\:sodium symporter activity	GO:0015501
glutathione-regulated potassium exporter activity	GO:0015503
cytosine permease activity	GO:0015504
uracil permease activity	GO:0015505
nucleoside\:hydrogen symporter activity	GO:0015506
hydroxy/aromatic amino acid permease activity	GO:0015507
tyrosine permease activity	GO:0015508
low-affinity tryptophan permease activity	GO:0015510
serine permease activity	GO:0015511
threonine permease activity	GO:0015512
nitrite uptake permease activity	GO:0015513
nitrite extrusion permease activity	GO:0015514
citrate\:succinate antiporter activity	GO:0015515
tartrate\:succinate antiporter activity	GO:0015516
galactose\:hydrogen symporter activity	GO:0015517
arabinose\:hydrogen symporter activity	GO:0015518
xylose\:hydrogen symporter activity	GO:0015519
tetracycline\:hydrogen antiporter activity	GO:0015520
bicyclomycin/sulfathiazole\:hydrogen antiporter activity	GO:0015521
hydrophobic uncoupler\:hydrogen antiporter activity	GO:0015522
arabinose efflux permease activity	GO:0015523
arabinose/beta-D-thiogalactopyranoside\:hydrogen antiporter activity	GO:0015524
carbonyl cyanide m-chlorophenylhydrazone/nalidixic acid/organomercurials\:hydrogen antiporter activity	GO:0015525
hexose-phosphate\:inorganic phosphate antiporter activity	GO:0015526
glycerol-phosphate\:inorganic phosphate antiporter activity	GO:0015527
lactose\:hydrogen symporter activity	GO:0015528
raffinose\:hydrogen symporter activity	GO:0015529
shikimate transporter activity	GO:0015530
citrate\:hydrogen symporter activity	GO:0015531
alpha-ketoglutarate\:hydrogen symporter activity	GO:0015532
shikimate\:hydrogen symporter activity	GO:0015533
proline/glycine/betaine\:hydrogen/sodium symporter activity	GO:0015534
fucose\:hydrogen symporter activity	GO:0015535
nucleoside permease activity	GO:0015536
xanthosine permease activity	GO:0015537
sialic acid permease activity	GO:0015538
hexuronate (glucuronate/galacturonate) porter activity	GO:0015539
3-hydroxyphenyl propionate porter activity	GO:0015540
cyanate porter activity	GO:0015541
sugar efflux transporter activity	GO:0015542
lactose/glucose efflux transporter activity	GO:0015543
phenyl propionate permease activity	GO:0015544
bicyclomycin transporter activity	GO:0015545
sulfathiazole transporter activity	GO:0015546
nalidixic acid transporter activity	GO:0015547
organomercurial transporter activity	GO:0015548
carbonyl cyanide m-chlorophenylhydrazone transporter activity	GO:0015549
galacturonate transporter activity	GO:0015550
3-hydroxyphenyl propanoate transporter activity	GO:0015551
propionate transporter activity	GO:0015552
xanthosine transporter activity	GO:0015553
tartrate transporter activity	GO:0015554
acriflavin resistant pump activity	GO:0015555
C4-dicarboxylate transporter activity	GO:0015556
arginine targeting transporter activity	GO:0015557
p-aminobenzoyl-glutamate uptake permease activity	GO:0015558
multidrug efflux pump activity	GO:0015559
L-idonate/D-gluconate\:hydrogen symporter activity	GO:0015560
rhamnose\:hydrogen symporter activity	GO:0015561
efflux permease activity	GO:0015562
uptake permease activity	GO:0015563
multidrug\, alkane resistant pump activity	GO:0015564
threonine efflux permease activity	GO:0015565
acriflavin transporter activity	GO:0015566
alkane transporter activity	GO:0015567
L-idonate transporter activity	GO:0015568
p-aminobenzoyl-glutamate transporter activity	GO:0015569
energizer of outer membrane receptor-mediated transport activity	GO:0015570
N-acetylgalactosamine transporter activity	GO:0015571
N-acetylglucosamine transporter activity	GO:0015572
beta-glucoside transporter activity	GO:0015573
trehalose transporter activity	GO:0015574
mannitol transporter activity	GO:0015575
glucitol transporter activity	GO:0015576
galactitol transporter activity	GO:0015577
mannose transporter activity	GO:0015578
glucose permease activity	GO:0015579
N-acetylglucosamine permease activity	GO:0015580
maltose porter activity	GO:0015581
beta-glucoside permease activity	GO:0015582
beta-glucoside [arbutin-salicin-cellobiose] permease activity	GO:0015583
trehalose permease activity	GO:0015584
fructose permease activity	GO:0015585
mannitol permease activity	GO:0015586
glucitol permease activity	GO:0015587
galactitol permease activity	GO:0015588
mannose permease activity	GO:0015589
N-acetylgalactosamine permease activity	GO:0015590
ribose transporter activity	GO:0015591
methylgalactoside transporter activity	GO:0015592
allose transporter activity	GO:0015593
putrescine porter activity	GO:0015594
spermidine porter activity	GO:0015595
glycine betaine/proline porter activity	GO:0015596
histidine/arginine/lysine/ornithine porter activity	GO:0015597
arginine porter activity	GO:0015598
glutamine porter activity	GO:0015599
glutamate/aspartate porter activity	GO:0015600
cystine/diaminopimelate porter activity	GO:0015601
leucine/isoleucine/valine porter activity	GO:0015602
iron chelate transporter activity	GO:0015603
phosphonate transporter activity	GO:0015604
organophosphate ester transporter activity	GO:0015605
spermidine transporter activity	GO:0015606
fatty acyl CoA transporter activity	GO:0015607
carbohydrate uptake transporter activity	GO:0015608
maltooligosaccharide porter activity	GO:0015609
glycerol-phosphate porter activity	GO:0015610
ribose porter activity	GO:0015611
arabinose porter activity	GO:0015612
galactose/glucose (methylgalactoside) porter activity	GO:0015613
xylose porter activity	GO:0015614
D-allose porter activity	GO:0015615
DNA translocase activity	GO:0015616
pilin/fimbrilin exporter activity	GO:0015617
thiamin\, thiamin pyrophosphate porter activity	GO:0015619
ferric-enterobactin transporter activity	GO:0015620
ferric triacetylfusarinine C transporter activity	GO:0015621
ferric-hydroxamate transporter activity	GO:0015622
iron chelate-transporting ATPase activity	GO:0015623
ferric-enterobactin porter activity	GO:0015624
ferric-hydroxamate porter activity	GO:0015625
diaminopimelate transporter activity	GO:0015626
tubulin binding	GO:0015631
cobalt porter activity	GO:0015632
zinc porter activity	GO:0015633
lipopolysaccharide exporter activity	GO:0015634
short-chain fatty acid transporter activity	GO:0015635
short-chain fatty acid uptake transporter activity	GO:0015636
peptide uptake permease activity	GO:0015637
microcin uptake permease activity	GO:0015638
ferrous iron uptake transporter activity	GO:0015639
peptidoglycan peptide transporter activity	GO:0015640
toxin binding	GO:0015643
fatty-acid ligase activity	GO:0015645
permease activity	GO:0015646
peptidoglycan transporter activity	GO:0015647
lipid-linked peptidoglycan transporter activity	GO:0015648
2-keto-3-deoxygluconate\:hydrogen symporter activity	GO:0015649
lactate\:hydrogen porter activity	GO:0015650
quaternary ammonium group transporter activity	GO:0015651
quaternary ammonium group\:hydrogen symporter activity	GO:0015652
glycine betaine\:hydrogen symporter activity	GO:0015653
tellurite-resistance uptake permease activity	GO:0015654
alanine\:sodium symporter activity	GO:0015655
branched-chain amino acid\:sodium symporter activity	GO:0015657
branched-chain aliphatic amino acid transporter activity	GO:0015658
formate uptake permease activity	GO:0015659
formate efflux permease activity	GO:0015660
L-lysine exporter activity	GO:0015661
ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	GO:0015662
nicotinamide mononucleotide transporter activity	GO:0015663
nicotinamide mononucleotide permease activity	GO:0015664
organic alcohol transporter activity	GO:0015665
restriction endodeoxyribonuclease activity	GO:0015666
site-specific DNA-methyltransferase (cytosine-N4-specific) activity	GO:0015667
type III site-specific deoxyribonuclease activity	GO:0015668
aspartate oxidase activity	GO:0015922
mannosidase activity	GO:0015923
mannosyl-oligosaccharide mannosidase activity	GO:0015924
galactosidase activity	GO:0015925
glucosidase activity	GO:0015926
trehalase activity	GO:0015927
fucosidase activity	GO:0015928
hexosaminidase activity	GO:0015929
glutamate synthase activity	GO:0015930
nucleobase\, nucleoside\, nucleotide and nucleic acid transporter activity	GO:0015932
ubiquinone biosynthesis monooxygenase activity	GO:0015997
eta DNA polymerase activity	GO:0015999
iota DNA polymerase activity	GO:0016000
sulfite reductase activity	GO:0016002
phospholipase activator activity	GO:0016004
phospholipase A2 activator activity	GO:0016005
morphogen activity	GO:0016015
cyclosporin A binding	GO:0016018
peptidoglycan recognition activity	GO:0016019
metarhodopsin binding	GO:0016030
maleylacetoacetate isomerase activity	GO:0016034
glutamate synthase (NADH) activity	GO:0016040
glutamate synthase (ferredoxin) activity	GO:0016041
myostimulatory hormone activity	GO:0016084
myoinhibitory hormone activity	GO:0016085
ecdysiostatic hormone activity	GO:0016087
protein-synthesizing GTPase activity\, initiation	GO:0016146
protein-synthesizing GTPase activity\, elongation	GO:0016147
protein-synthesizing GTPase activity\, termination	GO:0016148
translation release factor activity\, codon specific	GO:0016149
translation release factor activity\, codon nonspecific	GO:0016150
nickel ion binding	GO:0016151
mercury (II) reductase activity	GO:0016152
urocanate hydratase activity	GO:0016153
pyrimidine-nucleoside phosphorylase activity	GO:0016154
formyltetrahydrofolate dehydrogenase activity	GO:0016155
fumarate reductase (NADH) activity	GO:0016156
sucrose synthase activity	GO:0016157
3-phytase activity	GO:0016158
muconolactone delta-isomerase activity	GO:0016159
amylase activity	GO:0016160
beta-amylase activity	GO:0016161
cellulose 1\,4-beta-cellobiosidase activity	GO:0016162
nitrogenase activity	GO:0016163
Mo-molybdopterin oxidoreductase activity	GO:0016164
lipoxygenase activity	GO:0016165
phytoene dehydrogenase activity	GO:0016166
glial cell line-derived neurotrophic factor receptor activity	GO:0016167
chlorophyll binding	GO:0016168
bacteriochlorophyll c binding	GO:0016169
interleukin-15 receptor binding	GO:0016170
antifreeze activity	GO:0016172
ice nucleation inhibitor activity	GO:0016173
NADPH oxidase activity	GO:0016174
superoxide-generating NADPH oxidase activity	GO:0016175
superoxide-generating NADPH oxidase activator activity	GO:0016176
selenocysteine methyltransferase activity	GO:0016205
catechol O-methyltransferase activity	GO:0016206
4-coumarate-CoA ligase activity	GO:0016207
AMP binding	GO:0016208
antioxidant activity	GO:0016209
naringenin-chalcone synthase activity	GO:0016210
ammonia ligase activity	GO:0016211
kynurenine-oxoglutarate aminotransferase activity	GO:0016212
linoleoyl-CoA desaturase activity	GO:0016213
CoA desaturase activity	GO:0016215
isopenicillin N synthetase activity	GO:0016216
N-ethylammeline chlorohydrolase activity	GO:0016217
polyketide synthase activity	GO:0016218
GDP-dissociation stimulator activity	GO:0016219
RAL GDP-dissociation stimulator activity	GO:0016220
beta-alanine-pyruvate aminotransferase activity	GO:0016223
non-selenium glutathione peroxidase activity	GO:0016224
cysteine desulfhydrase activity	GO:0016225
tRNA sulfurtransferase activity	GO:0016227
aldolase activity	GO:0016228
steroid dehydrogenase activity	GO:0016229
sphingomyelin phosphodiesterase activator activity	GO:0016230
beta-N-acetylglucosaminidase activity	GO:0016231
HNK-1 sulfotransferase activity	GO:0016232
channel regulator activity	GO:0016247
channel inhibitor activity	GO:0016248
channel localizer activity	GO:0016249
N-sulfoglucosamine sulfohydrolase activity	GO:0016250
general RNA polymerase II transcription factor activity	GO:0016251
nonspecific RNA polymerase II transcription factor activity	GO:0016252
UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	GO:0016253
protein N-acetylglucosaminyltransferase activity	GO:0016262
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity	GO:0016263
arginine N-methyltransferase activity	GO:0016273
protein-arginine N-methyltransferase activity	GO:0016274
[cytochrome c]-arginine N-methyltransferase activity	GO:0016275
[myelin basic protein]-arginine N-methyltransferase activity	GO:0016277
lysine N-methyltransferase activity	GO:0016278
protein-lysine N-methyltransferase activity	GO:0016279
alanine aminopeptidase activity	GO:0016284
cytosol alanyl aminopeptidase activity	GO:0016285
small conductance calcium-activated potassium channel activity	GO:0016286
glycerone-phosphate O-acyltransferase activity	GO:0016287
CoA hydrolase activity	GO:0016289
palmitoyl-CoA hydrolase activity	GO:0016290
acyl-CoA thioesterase activity	GO:0016291
acyl-CoA thioesterase I activity	GO:0016292
long-chain fatty-acyl-CoA hydrolase activity	GO:0016293
lauroyl-[acyl-carrier protein] hydrolase activity	GO:0016294
myristoyl-[acyl-carrier protein] hydrolase activity	GO:0016295
palmitoyl-[acyl-carrier protein] hydrolase activity	GO:0016296
[acyl-carrier protein] hydrolase activity	GO:0016297
lipase activity	GO:0016298
regulator of G-protein signaling activity	GO:0016299
tRNA (uracil) methyltransferase activity	GO:0016300
kinase activity	GO:0016301
phosphatidylinositol 3-kinase activity	GO:0016303
phosphatidylinositol phosphate kinase activity	GO:0016307
1-phosphatidylinositol-4-phosphate 5-kinase activity	GO:0016308
1-phosphatidylinositol-5-phosphate 4-kinase activity	GO:0016309
inositol bisphosphate phosphatase activity	GO:0016312
phosphatidylinositol-3\,4\,5-trisphosphate 3-phosphatase activity	GO:0016314
inositol-3\,4-bisphosphate 4-phosphatase activity	GO:0016316
kinesin motor activity	GO:0016326
apoptosis regulator activity	GO:0016329
cytoskeletal anchoring activity	GO:0016343
calcium-independent cell adhesion molecule activity	GO:0016347
type I activin receptor activity	GO:0016361
type II activin receptor activity	GO:0016362
palmitoyl-CoA oxidase activity	GO:0016401
pristanoyl-CoA oxidase activity	GO:0016402
dimethylargininase activity	GO:0016403
15-hydroxyprostaglandin dehydrogenase (NAD+) activity	GO:0016404
CoA-ligase activity	GO:0016405
carnitine O-acyltransferase activity	GO:0016406
acetyltransferase activity	GO:0016407
C-acyltransferase activity	GO:0016408
palmitoyltransferase activity	GO:0016409
N-acyltransferase activity	GO:0016410
acylglycerol O-acyltransferase activity	GO:0016411
serine O-acyltransferase activity	GO:0016412
O-acetyltransferase activity	GO:0016413
O-octanoyltransferase activity	GO:0016414
octanoyltransferase activity	GO:0016415
O-palmitoyltransferase activity	GO:0016416
S-acyltransferase activity	GO:0016417
S-acetyltransferase activity	GO:0016418
S-malonyltransferase activity	GO:0016419
malonyltransferase activity	GO:0016420
CoA carboxylase activity	GO:0016421
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	GO:0016422
tRNA (guanine) methyltransferase activity	GO:0016423
tRNA (guanosine) methyltransferase activity	GO:0016424
tRNA (adenine)-methyltransferase activity	GO:0016426
tRNA (cytosine)-methyltransferase activity	GO:0016427
tRNA (cytosine-5-)-methyltransferase activity	GO:0016428
tRNA (adenine-N1-)-methyltransferase activity	GO:0016429
tRNA (adenine-N6-)-methyltransferase activity	GO:0016430
tRNA (uridine) methyltransferase activity	GO:0016431
tRNA-uridine aminocarboxypropyltransferase activity	GO:0016432
rRNA (adenine) methyltransferase activity	GO:0016433
rRNA (cytosine) methyltransferase activity	GO:0016434
rRNA (guanine) methyltransferase activity	GO:0016435
rRNA (uridine) methyltransferase activity	GO:0016436
tRNA cytidylyltransferase activity	GO:0016437
tRNA-queuosine beta-mannosyltransferase activity	GO:0016438
tRNA-pseudouridine synthase I activity	GO:0016439
bidentate ribonuclease III activity	GO:0016443
mu DNA polymerase activity	GO:0016448
lambda DNA polymerase activity	GO:0016449
kappa DNA polymerase activity	GO:0016450
nu DNA polymerase activity	GO:0016451
theta DNA polymerase activity	GO:0016452
C-acetyltransferase activity	GO:0016453
C-palmitoyltransferase activity	GO:0016454
RNA polymerase II transcription mediator activity	GO:0016455
pyrophosphatase activity	GO:0016462
zinc-exporting ATPase activity	GO:0016463
chloroplast protein-transporting ATPase activity	GO:0016464
tryptophan hydroxylase activator activity	GO:0016483
proprotein convertase 2 activator activity	GO:0016484
immunoglobulin receptor activity	GO:0016489
structural constituent of peritrophic membrane (sensu Insecta)	GO:0016490
oxidoreductase activity	GO:0016491
neurotensin receptor activity\, G-protein coupled	GO:0016492
C-C chemokine receptor activity	GO:0016493
C-X-C chemokine receptor activity	GO:0016494
C-X3-C chemokine receptor activity	GO:0016495
substance P receptor activity	GO:0016496
substance K receptor activity	GO:0016497
neuromedin K receptor activity	GO:0016498
orexin receptor activity	GO:0016499
protein-hormone receptor activity	GO:0016500
prostacyclin receptor activity	GO:0016501
nucleotide receptor activity	GO:0016502
pheromone receptor activity	GO:0016503
protease activator activity	GO:0016504
apoptotic protease activator activity	GO:0016505
apoptosis activator activity	GO:0016506
long-chain enoyl-CoA hydratase activity	GO:0016508
long-chain 3-hydroxyacyl-CoA dehydrogenase activity	GO:0016509
short-chain enoyl-CoA hydratase activity	GO:0016510
endothelin-converting enzyme activity	GO:0016511
endothelin-converting enzyme 1 activity	GO:0016512
interleukin-13 receptor activity	GO:0016515
interleukin-12 receptor activity	GO:0016517
interleukin-14 receptor activity	GO:0016518
gastric inhibitory peptide receptor activity	GO:0016519
growth hormone-releasing hormone receptor activity	GO:0016520
pituitary adenylate cyclase activating polypeptide activity	GO:0016521
latrotoxin receptor activity	GO:0016524
G-protein coupled receptor activity\, unknown ligand	GO:0016526
brain-specific angiogenesis inhibitor activity	GO:0016527
metallochaperone activity	GO:0016530
copper chaperone activity	GO:0016531
superoxide dismutase copper chaperone activity	GO:0016532
cyclin-dependent protein kinase 5 activator activity	GO:0016534
cyclin-dependent protein kinase 5 activator\, intrinsic catalyst activity	GO:0016535
cyclin-dependent protein kinase 5 activator\, intrinsic regulator activity	GO:0016536
cyclin-dependent protein kinase\, intrinsic catalyst activity	GO:0016537
cyclin-dependent protein kinase\, intrinsic regulator activity	GO:0016538
transcriptional activator activity	GO:0016563
transcriptional repressor activity	GO:0016564
general transcriptional repressor activity	GO:0016565
specific transcriptional repressor activity	GO:0016566
glycine binding	GO:0016594
glutamate binding	GO:0016595
thienylcyclohexylpiperidine binding	GO:0016596
amino acid binding	GO:0016597
glutaminyl-peptide cyclotransferase activity	GO:0016603
growth hormone-releasing hormone activity	GO:0016608
G-protein coupled serotonin receptor activity	GO:0016609
oxidoreductase activity\, acting on CH-OH group of donors	GO:0016614
malate dehydrogenase activity	GO:0016615
oxidoreductase activity\, acting on the CH-OH group of donors\, NAD or NADP as acceptor	GO:0016616
4-oxoproline reductase activity	GO:0016617
hydroxypyruvate reductase activity	GO:0016618
malate dehydrogenase (oxaloacetate decarboxylating) activity	GO:0016619
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, NAD or NADP as acceptor	GO:0016620
cinnamoyl-CoA reductase activity	GO:0016621
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, cytochrome as acceptor	GO:0016622
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, oxygen as acceptor	GO:0016623
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, disulfide as acceptor	GO:0016624
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, iron-sulfur protein as acceptor	GO:0016625
oxidoreductase activity\, acting on the aldehyde or oxo group of donors\, other acceptors	GO:0016626
oxidoreductase activity\, acting on the CH-CH group of donors	GO:0016627
oxidoreductase activity\, acting on the CH-CH group of donors\, NAD or NADP as acceptor	GO:0016628
12-oxophytodienoate reductase activity	GO:0016629
protochlorophyllide reductase activity	GO:0016630
enoyl-[acyl-carrier protein] reductase activity	GO:0016631
oxidoreductase activity\, acting on the CH-CH group of donors\, cytochrome as acceptor	GO:0016632
galactonolactone dehydrogenase activity	GO:0016633
oxidoreductase activity\, acting on the CH-CH group of donors\, oxygen as acceptor	GO:0016634
oxidoreductase activity\, acting on the CH-CH group of donors\, quinone or related compound as acceptor	GO:0016635
