Gene	YEW1_Control	YEW2_Control	YEW3_Control	YEW4_Treated	YEW5_Treated	YEW6_Treated
MBNL1	0	0	0	0	0	0
CTB-50L17.7	0	0	0	0	0	0
SLAMF6P1	2	0	0	0	0	0
AC084219.3	285	256	249	417	381	430
CTD-2335L22.6	0	0	0	0	0	0
CR759793.1	0	0	0	0	0	0
CTC-463N11.1	0	0	0	0	0	0
PROSP	0	0	0	0	0	0
HMGB3P30	0	0	0	0	0	0
AL031663.1	5042	6374	5563	6365	6102	6551
FBXL12	0	0	0	0	0	0
RPL31P41	6	7	19	10	17	7
WNT2B	0	0	0	0	0	0
DYNAP	0	0	0	0	0	0
RPL13P4	0	0	0	0	0	0
NMUR1	0	0	0	0	0	0
CLEC4M	0	0	0	0	0	0
AL117333.1	129	139	109	255	307	287
RP11-3P22.1	4843	4660	4459	6772	6333	6181
RP11-680H20.2	10	51	17	33	24	44
RP11-500K19.2	0	3	5	4	13	6
KRTAP13-1	91	174	138	130	127	183
MIR216A	5914	6825	5995	10467	10119	10490
RP5-896L10.1	0	0	0	0	0	0
RP11-777J24.1	0	0	0	0	0	4
ABRA	52268	54495	48770	82910	76521	77498
SPACA6P-AS	6	7	1	20	5	14
SLC2A3	4	0	0	8	8	8
STAP2	2	11	4	15	7	10
LINC01168	24510	25013	23154	30380	29415	27722
RNU6-1171P	7414	8475	7772	10260	10156	9988
CBFB	3	4	3	3	2	0
PPP1R14B	0	0	0	0	0	0
RP11-730A19.7	96	64	60	48	45	70
RNASEH1P1	1193	1198	1097	1291	1164	1502
MRPL42P6	8	0	4	4	0	2
RP11-558A11.2	0	0	0	0	0	0
HNRNPA3P11	5	5	0	4	0	1
KCNN3	0	0	2	1	0	4
CTD-2235C13.3	0	0	0	0	0	0
C3orf20	0	0	0	0	0	0
C15orf41	0	0	0	0	0	0
GULP1	0	0	0	0	0	0
AL138963.1	0	0	0	2	0	0
RNU6-286P	0	0	0	0	0	0
SLC2A7	1	0	0	0	0	0
BLVRA	0	0	0	0	0	0
OR52J1P	4	2	3	17	3	2
AC140061.6	0	0	0	0	0	0
RP11-342F17.1	0	0	0	0	0	0
RP11-473O4.5	0	0	0	0	0	0
MAGEE1	0	0	0	0	0	0
RP11-540A21.2	177	194	146	148	170	177
RP11-89C3.4	0	0	0	0	0	0
ANXA11	0	0	0	0	0	0
ARHGAP6	2266	2330	2112	2095	2084	1950
OR8A2P	0	2	0	3	0	0
EBPL	0	0	0	0	0	0
RP11-94P14.1	0	0	0	0	1	0
RNA5SP260	0	1	0	0	0	0
STAB2	0	0	0	0	0	0
CTB-91J4.1	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0
RP11-336N8.2	0	0	0	0	0	0
NKTR	0	0	0	0	0	0
AC013717.3	0	0	0	0	0	0
RBMY2NP	0	0	0	0	0	0
RARS	0	0	0	0	0	0
LINC01143	0	0	0	0	0	0
RP11-41L14.1	398	363	366	387	386	449
KIAA1024	1247	1428	1202	1233	1356	1165
KALRN	0	0	0	0	0	0
RP11-774I5.1	1324	1528	1275	1972	1963	2089
RN7SL574P	0	0	0	0	0	0
LINC00434	0	0	0	0	0	0
RP11-196G18.21	0	0	0	0	0	0
CTD-2267D19.4	28	25	12	26	25	35
RP11-329B9.4	2566	3010	2517	3950	4070	3965
LINC00846	0	0	0	0	0	1
AC012050.1	0	0	0	0	0	0
DYSF	5	4	3	4	2	4
CCR4	0	0	0	0	0	0
RP11-1085N6.2	0	0	0	0	0	0
RAD23BP2	0	0	0	0	0	0
CD44	0	0	0	0	0	0
RP11-542G1.3	5	4	9	2	4	0
YME1L1P1	2001	2110	1805	2384	2233	2124
PIGFP3	2	0	4	6	0	2
RP4-553F4.2	0	6	0	6	0	0
SLC25A5P3	0	0	0	0	0	3
SDR39U1	0	0	0	0	0	0
RP11-737O24.4	2	5	2	0	0	0
PRDX3P4	5	0	5	0	6	2
ASS1P2	620	601	534	598	496	561
MIR4650-2	0	5	0	0	3	0
RP5-1022P6.4	0	0	1	0	0	1
LCP1	2	2	3	7	7	10
RP1-182O16.1	7	9	1	3	5	2
COX5BP7	8	9	3	0	1	16
RP11-340I6.8	0	0	0	0	0	0
HAUS1P3	0	0	0	0	0	0
YBX1P1	0	0	0	0	0	0
RNU6-564P	0	0	0	0	0	0
AC099048.1	0	0	0	0	0	0
ZCCHC17	12	17	18	20	40	19
RP11-616K6.1	0	0	0	0	0	0
ENPP6	0	0	0	0	0	0
CTD-2510F5.4	2884	3335	3044	3589	3695	3599
RP4-583P15.15	0	0	0	0	0	0
BX936369.6	0	0	0	0	0	0
COPG1	0	0	1	0	0	0
TMEM253	3066	3234	3077	3833	3798	3629
RPL15P20	148	125	113	135	137	144
OR8B1P	0	0	0	0	0	0
NAALADL2-AS3	0	0	0	0	0	0
RP11-317P15.4	0	0	0	0	0	0
AC002310.10	0	0	0	0	0	0
RP11-927P21.2	0	0	0	0	0	0
AC104438.1	0	0	0	0	0	0
RNU4-7P	0	0	0	0	0	0
AL136446.1	0	0	0	0	0	0
UBE2R2	0	0	0	0	0	0
CD79B	0	0	0	0	0	0
RP11-383C6.2	0	0	0	0	0	0
NAP1L1	2	1	0	0	1	0
RP11-10C24.3	0	0	0	0	0	0
MTND5P9	0	0	3	0	0	2
RP11-79C6.1	1450	1620	1489	1362	1423	1491
IRS4	58	56	43	81	107	54
IQSEC3	12	11	11	7	9	16
HSPE1P14	3	10	0	1	12	2
EPM2A	3	9	14	20	23	7
HMGN1P34	0	2	1	0	0	7
VDAC1	0	0	0	0	1	0
OR1J4	0	1	0	1	0	1
CTA-221G9.11	0	0	0	0	0	0
RNU4-34P	0	0	0	0	0	0
FAIM	1	10	0	4	1	4
RP11-56L13.6	0	0	3	0	0	0
AL357936.1	0	0	0	0	0	0
RPL21P121	0	0	0	0	0	0
CTD-2003C8.2	9	8	0	8	4	4
AC132803.1	0	0	0	0	0	0
RP11-281O15.4	2	0	0	0	0	0
LINC00158	0	0	0	0	0	0
HAL	0	0	0	0	0	0
AC002523.1	0	0	0	0	0	0
TPRX1	1	1	1	2	1	0
AP000343.2	1669	1755	1489	1959	1769	1718
GPR62	56	67	63	72	58	64
RP11-167N4.2	3	0	1	0	0	0
PRR15	1904	1678	1475	1988	1879	1788
RPS4Y2	3251	2885	2638	3334	3021	2675
RP11-311H10.4	0	6	0	3	6	0
RP11-21I10.2	0	0	0	0	0	0
RGS1	0	0	0	2	0	0
TRBV6-6	15615	13854	12409	18483	16685	15935
SNTN	1	0	0	0	0	0
PAQR6	31	39	34	30	32	27
WNK1	0	0	0	1	0	4
RP13-1016M1.2	0	0	0	0	0	0
RP1-68D18.2	0	0	0	0	0	0
PLSCR5	0	0	0	0	0	0
RNU7-22P	0	0	1	0	0	0
RP11-397E7.2	2780	2732	2317	2684	2467	2609
CTD-2292M16.7	0	0	0	0	0	0
FGFBP1	0	0	0	0	0	0
AC037459.4	6	0	5	3	1	4
MIR4747	2563	2338	2032	2944	2473	2602
MIR4742	0	0	0	0	0	0
RP11-549B18.3	0	0	0	0	0	0
CTD-2537I9.12	0	0	0	0	0	0
TMED11P	594	491	487	534	523	425
RNA5SP114	0	0	0	0	0	0
RP11-561C5.4	0	0	0	0	0	0
RPRD1A	1794	1749	1539	1955	2085	1823
RP11-28O3.2	215	200	172	194	186	153
PMEPA1	648	579	489	702	660	470
VIM	5	0	1	2	1	4
RP11-552E10.1	0	0	0	0	7	0
HSD11B1	310	228	220	267	253	213
GOLGA2P3Y	348	264	272	329	321	275
RAI2	17	10	15	21	24	8
C18orf56	344	265	279	333	284	255
CTD-3110H11.1	406	371	336	430	301	339
TRAF3	12	15	16	25	18	22
RBPMS-AS1	0	2	0	0	0	12
MEI1	69	64	37	58	57	84
SERPINI1	10	16	13	22	40	28
RP11-254F7.1	17	23	38	53	41	46
AL117380.1	0	0	0	2	0	0
WDR38	2	0	0	0	3	0
NPM1P11	0	0	0	0	0	0
COL10A1	2	3	4	19	7	4
AC098870.1	43770	45843	41441	71275	66424	67062
CTD-2562J15.6	17	33	24	38	24	28
AF165138.7	166	200	171	236	235	200
RP11-290L7.5	613	512	479	588	418	412
RNY4P28	32886	29238	28182	38736	33386	32383
RN7SL660P	38	23	16	20	39	40
CTC-352P4.1	21	23	15	26	20	20
HAS2-AS1	3243	2823	2701	4127	3700	3596
RP11-174G6.1	3	4	3	8	4	13
OR52H1	14	16	14	36	22	32
DIO2	0	0	0	0	0	0
VCX	1	1	0	1	0	0
RP1-232L24.2	45	35	40	48	28	36
CTD-3051L14.13	5365	5311	4599	5613	4831	4482
AC013437.7	0	0	0	0	0	0
AL691452.1	3	24	10	12	13	8
RPS4XP21	13	16	16	15	12	33
RNU6-1290P	1	0	1	0	0	1
CTD-2275D24.2	0	0	0	0	0	0
RP11-1113L8.2	0	0	0	0	0	0
RNA5SP126	0	0	0	0	0	0
HNRNPA3P12	33	28	34	63	21	17
ABCG1	0	0	5	3	5	5
RNU6-1110P	0	0	0	0	0	0
OR52N1	749	570	586	737	757	688
AC003986.5	14	7	9	9	7	1
OTUD5	842	735	596	1217	1190	1086
PDGFB	0	1	0	0	0	3
RP11-98F14.11	9	9	11	4	9	13
RPS26	3168	3107	2810	3069	3117	2807
ZNF677	0	0	3	4	11	3
XRCC3	8	10	18	4	0	15
RP11-34P13.8	92	85	42	81	80	47
SFTPA3P	145	154	148	145	163	135
AC103563.5	1419	1248	1143	1173	1144	1137
RP11-567O16.1	0	0	0	0	0	0
CTC-329D1.3	0	0	0	0	0	0
AC104532.4	0	0	0	0	0	0
RP11-660M5.1	0	0	0	0	0	0
RP1-142L7.8	1	0	0	0	0	1
SNX31	8779	8168	7379	12387	11145	10733
C4A-AS1	0	0	0	0	0	0
RN7SKP254	0	0	0	0	0	0
KCNU1	1352	1277	1187	1377	1212	1237
NAV1	0	0	0	0	0	0
RNU6-276P	2953	3026	2649	3719	3680	3572
RANBP9	0	0	0	0	1	0
PYGM	1145	1258	1068	1235	1315	1200
DSCAM	9	9	3	6	3	7
FAM53B-AS1	0	0	0	0	2	0
AC132068.1	0	0	0	0	0	0
RP3-333A15.1	19	4	14	10	18	14
NPSR1-AS1	27408	23360	20552	69168	61376	60437
VPREB3	19	12	5	31	10	12
COX6CP12	0	0	0	0	1	0
RP11-420K10.1	1692	1632	1560	1574	1461	1455
RPS10P3	4	0	1	0	0	2
PGPEP1L	0	0	0	0	0	0
UHRF2P1	8125	7073	6410	13141	12239	10817
CHST15	23	32	25	23	37	13
RNU6-1243P	0	0	0	0	0	0
IGHVIII-67-4	1363	1331	1211	1402	1306	1301
RP11-273B19.1	0	3	0	3	0	8
RP11-5N11.7	3	0	0	0	0	0
EEF1A1P38	1	1	1	0	0	0
PDE12	0	0	0	0	0	0
AC008753.6	0	0	0	0	0	0
CTD-2015H3.1	0	1	2	0	3	7
AC092570.4	0	0	0	0	0	0
CTD-2015G9.1	4	0	0	5	0	0
RP11-463C8.4	4	0	0	1	9	3
CBX6	21	9	10	39	30	7
LINC01063	672	677	578	1383	1418	1310
FAM224B	1	7	6	10	8	3
TMEM262	21	21	9	7	31	23
RP11-588P8.1	285	325	211	489	413	477
ANXA1	0	0	0	0	2	0
AC011738.1	3295	3272	3094	4042	3889	3808
CNR1	9	5	5	9	10	4
RP11-347H15.6	90	97	103	149	134	150
RP11-20L19.1	6	6	3	13	5	5
RP11-335L23.4	6896	7073	6547	7526	7137	7272
RP11-74D7.1	0	2	0	0	0	0
RNU6-580P	4	3	6	3	3	6
CISD3	1	5	4	4	7	1
MIR617	0	0	0	0	0	0
RP11-1E6.1	6	8	8	7	9	10
RNF26	0	0	0	0	0	0
NR4A1	0	0	0	0	0	2
RPS3AP1	0	0	0	0	0	0
RP11-710M11.1	0	0	0	0	2	0
RP11-701H24.10	0	0	0	0	0	0
BX927168.4	4255	3594	3512	1484	1368	1474
MIR548Y	0	0	0	0	0	0
RP11-1141N12.1	0	2	0	0	4	0
RP11-188D8.1	0	0	0	0	0	0
AL513523.1	0	0	0	0	0	0
RP11-368M16.10	3689	3529	3353	3776	3654	3430
RP11-108K3.4	0	5	1	0	5	0
RP11-439M11.1	1	4	2	2	2	3
EPSTI1	4102	3916	3280	5592	4992	4587
RNU6-1267P	0	0	0	0	0	0
KRT19P1	0	0	0	0	0	2
ZNF213	0	0	2	0	3	0
RPL18P10	1	0	0	2	0	0
RP4-584D14.6	2	0	4	0	0	6
HMGN2P27	0	0	0	0	0	0
RP1-164F3.8	3099	3100	2971	3483	3477	3110
SIPA1L1	0	0	0	0	0	0
CLECL1	14	16	13	19	15	6
GOLGA6L7P	13414	12870	11688	13104	10667	11850
CXorf65	91	95	90	121	96	128
ZNF397	1	0	0	0	5	0
HNRNPA1P11	1402	1210	1114	1695	1559	1646
AC225613.5	0	0	0	0	0	0
KRT26	0	0	0	0	0	0
FAM107B	26700	25594	22756	38688	37819	35038
RNU6-1256P	79	84	58	72	71	101
TMC2	1262	1112	1035	1099	897	992
RP11-195F19.30	0	0	0	0	0	1
AC119673.1	0	0	0	0	0	0
RP4-543J13.1	646	484	443	580	542	415
RNU2-22P	38	10	9	9	27	11
COX6B1	535	425	392	514	468	436
SEC63P2	3	1	0	0	1	2
AC009120.4	0	0	1	0	0	0
TCP10L2	1723	1636	1471	2015	1710	1843
OTX2-AS1	0	0	0	0	0	0
ERHP1	8971	9336	8179	8175	7918	7840
NFATC2	0	0	3	0	12	0
SMIM2	2	8	2	1	3	3
SNORD18A	4663	5072	4328	5514	5462	5446
OSR2	0	0	0	0	0	0
RP11-618I10.4	49	45	22	39	47	38
RNU6-1044P	0	0	0	0	0	0
RP11-432M8.5	1	1	5	2	0	17
RNU6-1011P	0	0	0	0	0	0
CTD-2005H7.1	11	10	10	25	22	17
PGBD4P1	10425	10713	9619	13546	12965	12351
RP11-395I6.2	0	0	0	0	0	0
CRADD	0	0	0	0	0	0
SPATA5	0	0	0	0	0	0
RNU6-649P	0	0	0	0	0	0
MIR652	0	0	1	0	0	0
CTD-3080P12.3	0	0	0	0	0	0
AC005954.3	0	0	0	0	0	0
RP11-297N6.4	0	0	0	0	0	0
AC004593.3	0	5	0	0	0	0
CHRM3-AS1	0	1	0	0	0	1
UBE2J1	12	32	16	12	14	12
RP11-251M1.1	0	0	0	0	0	0
USP17L21	2	3	5	4	2	3
RP11-17L5.4	1	0	1	1	0	1
CTA-384D8.35	1129	1103	1048	806	734	662
ESPL1	0	0	0	0	0	0
AC098784.2	0	0	0	2	0	1
RP11-64I17.1	809	758	800	725	778	714
RNU5A-6P	5	7	12	9	14	7
PDCL3P6	19591	18951	17538	21620	20672	19638
KRTAP4-8	1	1	0	3	0	0
MIR4723	8	1	2	12	4	8
HNRNPA1P6	0	0	1	2	1	0
KRT14	0	1	0	0	0	0
AC012175.1	0	0	0	0	1	0
RP11-227D2.3	0	0	0	0	0	0
CTD-3065B20.2	0	0	0	0	0	0
TPT1P12	0	0	0	0	0	0
RP11-843B15.2	0	0	0	0	0	0
RP11-215G15.5	0	0	0	0	0	0
AC217779.1	0	0	0	0	1	0
RP11-659F24.1	7	15	13	12	6	8
RP11-470B22.1	10	0	3	2	0	7
SUMO3	1876	1994	1823	1655	1669	1814
NCMAP	0	0	0	1	1	0
RP11-80K6.2	0	0	2	0	0	0
RP11-396M11.1	0	0	0	0	0	0
TGM6	1	0	1	0	1	0
TEX26	1	0	0	0	0	0
GAP43	81	73	102	150	129	162
OR11H7	0	0	0	0	1	0
WI2-89031B12.1	1387	1338	1168	1730	1289	1542
RIPK3	1	0	0	0	0	0
RP11-249M12.2	2	1	0	0	0	5
CALCRL	4174	3930	3710	4639	4065	4036
POP7	7	0	0	2	0	0
RP11-98J23.1	662	708	678	657	717	693
SSH3	9	6	5	3	3	4
ANAPC10	8	6	3	0	5	4
DASS-23B5.1	3	6	1	2	0	7
RNU7-127P	0	1	0	0	0	0
RP11-1348G14.6	1105	1224	1010	1337	1312	1136
ZNF674	0	0	0	0	0	0
HIST1H2AL	108	124	118	120	128	171
GPR174	2358	2415	2231	2483	2486	2349
SUMO2	0	0	0	0	0	0
CTC-786C10.1	10	13	17	13	8	12
CTD-2012J19.1	0	0	0	0	0	0
PUS10	0	1	1	0	0	4
ZNF830	1	0	0	1	0	3
ALDH6A1	0	0	0	0	0	0
CTSB	3	0	2	2	0	3
AC067969.1	14144	13781	12500	13920	12980	13018
RP11-642C5.1	404	321	263	268	278	276
SRSF10P1	1470	1207	1201	1496	1455	1202
RP11-331O9.2	269	257	193	334	283	244
AC096643.1	33	25	22	22	27	22
RPS29P6	0	0	0	0	0	0
ZYEWIM5P3	0	0	0	0	0	0
RNU1-109P	0	0	0	0	0	0
AC122714.1	0	0	0	0	0	0
PHYHD1	1620	1600	1409	2076	2053	1847
RP11-445O3.1	0	0	0	0	0	0
CTC-559E9.8	0	0	0	0	0	0
U91328.20	0	0	0	0	0	0
LINC01162	0	0	0	0	0	0
MTND1P21	4732	4329	3834	5688	4819	4710
TOX	2574	2240	2067	2952	2558	2417
RP1-197J16.2	0	0	0	0	0	2
YAP1P1	0	2	0	0	0	0
RCC2P7	1181	1046	1002	1489	1125	1202
DNAJC3	3405	2874	2615	3615	3506	3091
AC104331.1	27	30	25	36	24	24
MIR671	1269	1375	1141	1638	1487	1518
CCNI	0	0	0	0	0	0
ACTN3	1	1	0	0	0	2
RP11-392P7.6	22	52	17	49	43	19
ZNF443	1936	2090	1777	2132	2180	1872
CDC25B	0	0	0	0	0	0
MIR224	188	99	135	201	168	150
RP11-403D15.1	0	0	0	0	0	0
ZNF20	0	0	0	0	0	0
RP11-98D18.1	0	0	0	0	0	0
RP11-108K3.2	0	0	0	0	0	0
MIR3127	0	0	0	0	0	0
AC093106.7	2	0	0	0	0	0
RP11-536C10.4	1779	1666	1617	1804	1759	1798
NDOR1	37	52	30	33	20	42
RP11-663P9.1	1743	1578	1550	1659	1636	1556
RP11-501J20.3	91	101	96	86	94	96
ATP6V1G3	6	7	5	3	6	18
RP11-383G10.5	0	2	0	0	0	0
ARPP21-AS1	0	0	0	0	0	0
CHIC1	5862	5623	5178	6147	6022	5875
BOD1L2	0	1	0	4	1	1
DYNLT3	19	6	1	11	12	25
ENY2	12	17	3	15	29	9
KLHL12	17	15	5	33	42	28
RNU6-919P	0	0	0	0	1	0
RP11-342M3.1	0	0	0	0	0	0
IGLC6	0	0	0	0	0	0
FGF11	0	0	0	0	0	0
RP11-57B24.2	0	7	4	3	6	0
NBPF23	0	0	0	0	0	0
RP11-415D17.1	1	0	0	4	3	0
TAF13	1	0	0	0	0	0
SLC5A8	4	0	15	31	25	11
HIF1AP1	0	0	0	0	0	0
MGC4771	0	0	0	0	0	0
RP11-242C19.2	0	0	0	0	0	0
RP1-65P5.5	0	0	0	0	0	0
RP11-96C23.9	0	0	3	0	0	3
RPS7P5	0	0	0	0	0	0
MLF2	0	0	0	0	0	0
TUBB1	0	0	0	0	0	0
SLC25A17	0	0	0	0	0	0
KRT76	8	0	0	0	0	0
RN7SL824P	0	0	0	0	0	0
RP11-307C12.11	0	0	0	0	0	0
OR10G4	0	0	0	0	0	0
AC107016.2	0	0	0	0	0	0
LINC00160	0	0	0	0	0	0
RNA5SP478	0	0	0	0	0	0
COPS8P3	0	0	0	0	0	0
RP11-334E6.12	0	0	0	0	0	0
SMAD5-AS1	0	0	0	0	0	0
RPS3P2	0	0	0	0	0	0
AC007773.2	0	0	0	0	0	0
FAM115D	0	0	0	0	0	0
HTR5A	0	0	0	0	0	0
MORF4L1	0	0	0	0	0	0
KLHL42	0	0	0	0	0	0
MIF	0	0	0	0	0	0
MIR4419B	0	0	0	0	0	0
GBE1	0	0	0	0	0	0
KPNA7	2	0	0	0	0	0
NLRP14	6	0	0	0	0	0
VPS26AP1	0	0	0	0	0	0
RP11-662I13.1	0	0	0	0	2	0
TCEB1P4	0	0	0	0	0	2
AC009541.1	0	0	0	0	0	0
SNX2P2	0	0	2	0	1	0
NDUFB1P2	2	0	0	0	0	0
RP11-347I19.8	0	0	0	0	0	0
CTC-503J8.6	0	0	0	0	0	0
RP11-456O19.2	0	0	0	0	0	0
UBTD1	0	0	0	0	0	0
RP11-12D16.2	0	5	0	4	0	0
RP11-332E19.1	0	0	1	0	0	0
ABCB10	0	0	0	0	0	0
RP11-429D19.1	0	0	0	0	0	0
RNU6-72P	0	0	0	0	0	0
GIP	0	0	0	0	0	0
AC007040.4	0	0	0	0	0	0
MTMR9	0	0	0	0	0	0
KLF14	0	0	0	0	0	0
DYNC1I2P1	0	0	0	0	0	0
SNORD34	0	0	0	0	4	6
CTF2P	0	0	0	0	1	0
CTD-3046C4.1	8	0	1	0	6	5
AP001187.1	0	0	0	0	0	0
MIR516A1	0	0	0	0	0	0
RNU6-1259P	0	0	0	0	0	0
RP11-229P13.15	0	0	0	0	0	0
AL133269.1	0	5	0	1	0	0
DHTKD1	0	0	0	0	0	0
PRDX4	0	0	0	0	0	0
RNU6-875P	2	0	1	0	1	0
RN7SL8P	0	0	0	3	0	0
RP11-257I8.1	2	0	0	2	0	3
NACA2	0	0	0	0	0	0
RP11-1079K10.5	0	0	1	0	0	0
AC010609.1	0	0	0	1	0	0
RP11-53B2.3	0	0	0	0	0	0
RP11-158L12.2	4	1	2	5	3	0
RP11-474C8.4	2	4	0	0	3	2
HMGB1P18	2	0	0	0	0	0
DEFB104A	3	3	0	1	0	0
DHX38	3	2	0	0	1	4
OR5B2	209	190	137	177	151	154
SNORD38B	7	3	3	1	1	9
RP11-203B7.1	527	474	435	269	258	251
MAGEB1	5	4	0	1	0	3
SNORD116-25	0	0	0	0	0	0
RP11-673E1.3	0	0	0	0	4	0
AC139099.5	0	0	0	0	0	0
RPL35AP	0	4	6	8	1	8
RIMS3	0	0	0	0	0	0
CTD-2193P3.1	0	0	0	0	0	0
KRT8P22	0	0	0	0	0	0
LINC00493	0	0	0	0	0	0
AC007099.2	0	0	0	0	0	0
MRPL42P4	0	0	0	0	0	0
RP11-737F9.1	0	0	0	0	0	0
SHISA3	0	0	0	0	0	0
RN7SL77P	2823	2444	2199	3330	2961	2773
RP11-293P20.2	0	0	1	0	0	0
CTA-363E6.6	7	1	5	13	1	24
MIR374A	3436	3380	3072	3272	3209	2943
RP4-796I17.5	3	15	16	5	12	4
RP11-1028N23.4	5	8	19	8	17	0
RP11-317N6.1	10	1	4	7	4	4
AGBL4-IT1	0	0	0	2	0	0
TCTN1	315	260	278	423	331	298
CU459202.3	0	0	2	0	0	1
RP11-449D8.5	468	495	346	478	447	515
MIR222	14885	12504	11762	16235	13393	13738
ZFP28	83	63	49	88	45	39
CTD-2369P2.8	0	0	1	3	0	0
SCGB2A2	0	0	0	0	0	0
AC073508.1	0	0	0	0	0	0
EXOG	0	0	0	0	0	0
RNU6-744P	0	0	0	0	0	0
NBPF24	0	0	0	0	0	0
FABP5P10	0	0	0	0	0	0
RP5-991G20.2	0	0	0	0	0	0
RP11-158M2.4	0	0	0	0	0	0
C4orf3	0	0	0	0	0	0
FAM230B	0	0	0	0	0	0
ENPP7P6	69	44	52	81	68	63
HMGN2P21	90	102	76	159	174	137
KRT8P51	0	0	0	0	0	0
RERG-IT1	0	0	2	0	0	0
CHIA	0	0	0	0	0	0
FAM66C	0	2	0	3	0	0
RP11-153F5.3	0	0	0	0	0	0
NAA40	0	0	0	0	0	0
TDO2	1528	1366	1218	1811	1442	1586
RP11-314A20.5	0	0	0	0	0	0
LMTK3	0	0	0	0	0	0
CNOT10-AS1	0	0	0	0	0	0
GPR148	0	0	0	0	0	0
AL928742.3	0	0	0	0	0	0
CR759912.2	0	0	0	0	0	0
RP11-455J20.3	0	0	0	0	0	0
KIAA1239	0	0	0	0	0	0
RP11-107P7.4	0	0	0	0	0	0
RN7SL678P	0	0	0	0	0	0
RP11-124N14.3	0	0	0	0	0	0
EIF4EBP2	0	0	0	0	0	0
CTD-2227C6.2	0	0	0	0	0	0
GPR68	0	0	0	0	0	1
FAM181A-AS1	0	0	0	0	0	0
AC090051.1	0	0	0	0	0	0
SBF2	0	0	0	0	0	0
RP11-564C4.4	0	0	0	0	0	0
QSER1	0	0	0	0	0	0
NBPF4	9	8	9	13	12	4
RNU6-704P	0	0	1	0	0	3
BAG3	0	0	0	0	0	0
CYCSP34	0	0	0	0	0	0
RP11-387H17.4	16	15	14	13	14	12
HSPA8P13	2	0	0	0	0	0
KRTAP10-12	0	0	0	0	0	0
CTD-2643K12.2	13	12	12	5	9	11
GRIN3B	1	0	0	0	0	0
RAB1A	0	0	0	0	0	0
RP11-252A24.2	198	123	142	202	183	152
FZR1	0	0	0	0	0	0
CTD-2311B13.7	0	1	0	1	0	0
TSC22D1	0	1	0	0	0	0
TSSC1	166	154	128	203	274	173
RN7SL647P	18	9	6	8	8	17
RP11-183G22.1	0	0	0	0	0	0
MIR345	0	0	0	0	0	0
SORT1	2	1	2	1	2	2
SNORD31	0	0	2	1	2	2
LINC00636	0	0	0	0	2	0
PYCARD	0	1	0	0	0	0
RP11-367H5.8	0	0	0	0	0	0
TPCN1	0	0	0	0	0	0
GNLY	0	0	0	0	0	0
OR7E28P	0	0	0	0	0	0
AC034205.1	1	0	0	0	0	0
ST13	0	0	0	0	0	0
SNORD115-4	0	1	1	0	0	0
HERC2P10	0	0	0	0	0	0
AC023347.2	0	0	0	0	0	0
MSI2	0	0	0	0	0	0
SLC31A1	0	0	0	0	0	0
RP11-343K8.3	0	0	0	0	0	0
RP11-809N8.6	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0
PABPC1P5	0	0	0	0	0	0
RNU6-371P	0	0	0	0	0	0
RP11-146N23.4	4	2	4	4	3	4
FAM133A	0	0	0	0	0	0
RP6-74O6.2	142	133	140	142	118	114
RP11-286N3.1	6087	5838	5268	5967	5697	5427
RP11-94I2.4	24	16	39	20	9	38
EPHA5	5217	5408	4862	4203	3995	3865
PARP1	1	1	0	2	0	0
RP11-326I11.1	0	0	1	0	0	0
ADAMTS4	0	0	0	0	0	0
AL935042.1	0	0	0	0	1	0
KERA	0	0	0	0	0	0
RP11-301J7.8	0	1	0	0	0	0
TAF5	10735	9707	8771	12349	11426	11104
RP11-536C10.13	0	0	0	0	0	0
LLNLR-299G3.1	0	1	0	1	1	1
RPP30	415	386	346	419	401	323
RNU6-793P	198	164	139	283	302	273
PDK2	17	11	7	9	4	7
RP11-1246C19.1	1095	942	791	997	1016	862
CTSH	13	18	32	38	44	26
RP1-167G20.2	2539	2324	2072	2612	2317	2328
RP11-374M1.4	872	769	677	894	852	629
RP11-18O15.1	819	648	632	721	767	773
RP11-411B10.5	23	24	7	23	25	17
OR2J2	243	183	184	244	242	220
RP11-815J4.4	5	3	3	3	4	4
RP11-31H15.2	2	4	6	2	0	0
AC006116.13	0	0	0	0	0	0
AMT	0	2	12	5	3	1
RP11-131K5.2	1344	1212	1048	1204	1098	1073
AC111155.1	1575	1396	1300	1518	1395	1301
SESN2	751	711	639	718	819	767
FAM96AP2	605	369	367	458	441	325
LRRC37A15P	93	59	48	108	76	123
KIF5B	82	40	40	89	78	80
USP32P3	721	493	431	797	746	640
AFF2-IT1	3	20	8	16	6	9
RP11-469L4.1	300	278	303	207	220	259
RNU6-1229P	2345	2083	1832	2331	2009	1849
RP11-715J22.6	0	0	0	0	2	0
GTF2H2C	0	0	0	0	0	0
TNFRSF13B	0	0	0	0	0	0
NDUFA5P10	0	0	0	0	0	0
RP11-33B1.2	0	1	0	0	0	0
IGKV6D-21	0	0	0	0	4	0
IGFBP6	0	0	0	0	0	0
RP1-65J11.1	1	0	0	0	0	0
RP11-349N19.2	6	8	3	13	1	4
PHOX2B	0	0	0	0	0	0
ZNF630-AS1	83	50	67	78	41	66
AC007386.2	4976	4485	4265	4642	3948	4086
REST	385	332	286	339	288	315
APC	2	2	2	0	0	0
